cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
1995722,2073908,2652,1090,135186
330350,488521,0,0,666
119080,177644,0,0,306
89315,133233,0,0,227
89470,133233,0,0,199
29773,44411,0,0,76
59579,88822,0,0,152
29772,44411,0,0,78
29860,44411,0,0,59
29700,44411,0,0,67
29711,44411,0,0,71
29904,44411,0,0,75
0,0,0,0,0
29857,44411,0,0,68
29815,44411,0,0,80
0,0,0,0,0
29877,44411,0,0,66
0,0,0,0,0
29841,44411,0,0,66
0,0,0,0,0
40358,46020,16,2,1912
0,0,0,0,0
104880,242152,30,3,3501
0,0,0,0,0
0,0,0,0,0
32627,44411,15,1,1791
0,0,0,0,0
0,0,0,0,0
30570,44411,5,0,443
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
30182,44411,0,0,73
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
30080,44411,0,0,74
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
67136,79377,84,6,7192
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
30176,44411,0,0,68
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
29955,44411,0,0,69
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
29840,44411,0,0,56
0,0,0,0,0
0,0,0,0,0
17873,3249,56,12,6088
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
57864,77358,64,4,5774
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
30422,44411,1,0,229
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
9525,2019,17,3,2142
56547,77358,67,4,5274
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
32626,44411,15,1,1444
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6574,1609,7,1,993
0,0,0,0,0
0,0,0,0,0
55915,77358,62,4,5141
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
32919,44411,14,1,1559
0,0,0,0,0
0,0,0,0,0
6853,1671,6,0,1086
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
56033,77358,53,4,4370
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4889,1609,1,0,250
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
57779,77358,74,5,5284
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6472,2429,1,0,271
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
57284,77106,79,7,5629
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4530,2019,1,0,118
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
55701,77106,68,3,5544
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5030,1609,18,3,1770
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
55199,77106,64,3,4953
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3742,1609,5,0,512
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
55609,77106,65,3,5353
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4999,1671,2,0,412
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
52273,77106,25,1,1835
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3722,1609,1,0,158
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
55451,77106,66,4,5604
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
