cycles,instructions,load_misses,store_misses,ept_walk_cycles
2420636,2606839,670411,356580,167251
225125,310877,82398,53802,10430
128107,177644,47083,30744,5822
63915,88822,23540,15372,2820
63790,88822,23540,15372,2938
63771,88822,23540,15372,3102
32171,44411,11770,7686,1441
32205,44411,11770,7686,1502
32215,44411,11770,7686,1450
32110,44411,11770,7686,1413
42291,46020,12240,7936,3225
105557,242152,46926,13495,3466
32065,44411,11770,7686,1473
0,0,0,0,0
32436,44411,11770,7686,1485
0,0,0,0,0
32030,44411,11770,7686,1341
0,0,0,0,0
32219,44411,11770,7686,1525
0,0,0,0,0
65657,80197,25070,10598,4288
0,0,0,0,0
32254,44411,11770,7686,1482
0,0,0,0,0
0,0,0,0,0
32105,44411,11770,7686,1369
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
32178,44411,11770,7686,1480
11888,2429,716,362,2796
0,0,0,0,0
55610,77358,24231,10180,3443
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
32435,44411,11770,7686,1617
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12259,2839,839,418,2618
56486,77358,24231,10180,3613
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
32209,44411,11770,7686,1529
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11469,2429,716,362,2655
59390,77358,24231,10180,3580
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
32942,44411,11770,7686,1592
0,0,0,0,0
10976,2901,856,426,1340
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
55207,77358,24231,10180,3507
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7883,1609,470,250,1812
0,0,0,0,0
0,0,0,0,0
56636,77358,24231,10180,3786
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
9026,2429,716,362,1036
0,0,0,0,0
54969,77106,24168,10117,3752
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8008,1609,470,250,1904
0,0,0,0,0
