cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
72550731,2960283,5433448,10054479,116528,315998,2806861
86252731,63351,5794053,11654757,125785,380457,3707774
86689136,63808,5963495,12113265,125950,375735,4194142
143292986,74992131,7655206,8755997,170738,276662,4598857
327651684,291249776,15067653,1032,360681,219,5127943
341032521,297683576,14415381,939,356690,219,5526700
340703155,298491032,13705535,948,318409,219,5453134
340840738,296178130,14912162,1019,359450,214,5272451
328563375,297964540,14392576,998,335922,218,5096046
334153327,294680179,14176588,1033,349039,218,5366759
340399658,296831795,14640722,916,345798,219,5388484
342684135,301201377,14431588,986,332424,214,5381268
334309265,300682442,13205255,988,326971,218,5223879
329820239,293275108,14309958,980,357835,218,5244988
340885494,302215655,13011037,964,321759,217,5461393
340353332,298916311,14309778,976,334670,217,5495024
340701359,299005992,14207232,936,339429,215,5265516
326089278,297225424,13242637,966,309320,218,5075220
334680625,295937150,13101483,970,316127,215,5360640
339386781,299397560,14329052,918,336442,218,5460896
257729907,224384933,11304504,4000,266568,201,3947283
