cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
239302010,88407151,1368940,133150240,25499,2459381,40765679
342467546,130914593,111402,193265167,579,3637290,63320472
342446758,131680178,114745,198201435,574,3579452,63943168
339784829,132576886,100332,199854221,599,3652857,61562348
328743515,129756583,116507,198248977,555,3640815,60643656
339496341,129904740,102765,196002931,573,3614493,62379819
342390824,131276459,118260,194727790,477,3648292,63409862
342286958,125537393,118889,189938538,583,3414425,60034638
337312660,125468663,114760,188186038,564,3467240,58120053
328772937,125464437,116027,193134213,570,3547594,59257190
341962104,130457004,109334,194720389,568,3612817,62960510
342494319,130228407,117345,193783431,488,3617983,62970741
342228537,130847000,115514,197437791,572,3547054,62591695
334317601,132109426,111819,198715603,515,3657572,60900826
331491303,128486952,119036,198152363,565,3636798,61348016
341721170,129572435,115139,192124504,582,3588921,62320207
343280926,131266608,110967,197271783,521,3609572,63509572
342271528,130095895,120105,196095499,585,3556724,61375449
330360633,129767383,111045,196822931,500,3617099,60060725
335870773,129636353,112537,198400801,611,3639866,62206625
341493196,130046398,116554,192278985,561,3608528,62843710
342615726,131523867,115436,198011936,587,3584704,63729841
341407946,131274412,110155,197745485,609,3610897,61430825
328838022,127010088,110695,193117182,536,3561907,59547548
338412789,127386827,109000,194170257,568,3564303,61363876
341387906,128471655,116992,189510830,488,3550038,61900479
342489382,130099240,120602,196216576,524,3526488,63040332
338308823,131198705,112976,197684877,560,3628843,60617662
328738511,129153523,107309,198748512,523,3649155,60842707
341488781,131372811,108318,196849787,598,3647471,63373997
341741765,130832683,114977,194888710,565,3620907,63024726
342204784,131565866,108067,198434717,598,3568251,63013558
335553958,131871642,117655,198580564,547,3645230,60717907
330442913,128421192,109213,198071775,555,3631169,60969608
342309622,130541584,110604,194159976,546,3624144,63123130
341395478,129096225,110971,192948324,593,3567195,62429020
343471411,131935984,107617,198666587,558,3580382,62512000
