cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
2735984,2873303,2581,1079,143587
209214,310877,0,0,294
119870,177644,0,0,218
59811,88822,0,0,139
59691,88822,0,0,155
152989,288172,64,3,6483
30008,44411,0,0,82
29840,44411,0,0,77
29886,44411,0,0,71
29884,44411,0,0,98
59499,78967,7,1,1438
29977,44411,0,0,59
29950,44411,0,0,93
0,0,0,0,0
30507,44411,1,1,129
15898,2839,19,4,3143
51473,77358,1,0,192
0,0,0,0,0
30017,44411,0,0,84
0,0,0,0,0
63541,79787,18,2,3235
0,0,0,0,0
0,0,0,0,0
30131,44411,0,0,71
0,0,0,0,0
10590,2839,2,2,1076
50976,77358,1,0,171
0,0,0,0,0
0,0,0,0,0
29912,44411,0,0,62
12236,2491,18,2,3100
0,0,0,0,0
50329,77358,0,0,74
0,0,0,0,0
0,0,0,0,0
7606,2839,2,0,611
0,0,0,0,0
55743,77358,65,3,5706
0,0,0,0,0
0,0,0,0,0
11939,2429,17,2,3054
52552,77106,18,0,1602
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
10439,2839,2,0,1148
52740,77106,7,0,1132
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12908,2429,17,2,3080
51881,77106,4,0,781
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
9905,2839,4,2,1159
51118,77106,2,0,476
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
13815,2901,18,2,3125
50682,77106,0,0,167
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8351,2429,3,0,677
51244,77106,2,0,390
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12624,2839,17,2,2868
51554,77106,2,1,558
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6651,2429,2,0,478
51242,77106,3,0,522
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11890,2839,17,2,2688
50530,77106,0,0,164
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8976,2429,3,0,917
56524,77106,64,5,6474
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12926,2901,18,2,3072
52541,77106,23,1,2324
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8819,2839,4,0,928
52258,77106,8,0,959
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11882,2429,17,2,2621
51180,77106,1,0,509
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
10902,2839,3,0,1196
52907,77106,11,0,1308
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11496,2429,17,2,2779
51656,77106,3,0,458
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7277,2839,2,0,494
51204,77106,2,0,393
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11580,2491,18,1,2798
51762,77106,1,0,534
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
9881,2839,3,0,864
51502,77106,2,0,361
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12907,2839,17,2,3342
51431,77106,1,0,315
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5864,2429,3,0,486
58529,77106,69,13,7038
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12937,2839,17,2,3208
53183,77106,21,0,1823
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
9514,2429,3,0,1225
52676,77106,4,0,739
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
13885,2901,18,2,2959
55145,76791,2,1,938
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6532,2429,2,0,734
53833,76791,3,0,553
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12589,2839,17,2,3179
51564,76791,0,0,380
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8972,2429,2,2,899
53940,76791,2,0,494
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12857,2839,17,2,3149
51588,76791,0,1,448
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6758,2839,2,0,312
51100,76791,1,0,424
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11407,2491,18,2,2940
51430,76791,2,1,687
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
9926,2839,2,2,987
56849,76791,70,4,7199
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11108,2429,17,2,2924
52477,76791,19,0,1868
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7134,2839,2,0,537
51818,76791,8,0,892
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12637,2429,17,2,3096
51333,76791,1,0,574
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7843,1609,6,2,1394
55491,76791,64,3,5859
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11735,2491,18,2,2680
52224,76791,21,4,1702
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6179,2429,2,0,271
51494,76791,3,0,634
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
19898,2839,17,2,2942
50677,76791,0,0,501
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6216,2429,2,0,277
51365,76791,2,0,636
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12078,2839,17,2,2974
52124,76791,4,1,944
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7735,2839,2,0,310
56439,76791,65,4,6462
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11750,2501,18,2,2995
52406,76791,20,0,1726
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7663,2839,2,0,390
52675,76791,12,0,1413
0,0,0,0,0
0,0,0,0,0
