cycles,instructions,load_misses,store_misses,ept_walk_cycles
77234485,101479536,60875611,20281959,777649
96175467,126545047,75964161,25303134,927939
97043817,127712633,76664110,25537362,970246
97513062,128360921,77051361,25666734,939994
97070063,127755687,76692260,25545904,959577
97113878,127799690,76715915,25554003,965512
97916362,128869979,77358891,25768960,965396
97776838,128685627,77248383,25733120,957215
97265334,128025017,76851601,25599934,945679
97928066,128891296,77369080,25772032,961392
97558298,128378645,77065006,25669632,964952
96238946,126666837,76037718,25328640,931257
97285538,127984047,76827085,25590835,979710
97226603,127976644,76824009,25590167,946627
97162367,127810211,76719228,25556585,999699
97262488,127970561,76821328,25589760,974479
97226189,127968680,76818537,25588736,952828
97035561,127709548,76659639,25536508,962061
97016572,127671665,76642228,25531125,958922
97411964,128183767,76945797,25630720,982380
97200162,127965325,76825277,25591163,942601
208763177,63378577,26242780,10703809,42327599
238877170,60363650,18098662,9049124,36813545
107423488,27122572,8131256,4065340,16509123
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
127108073,31324891,9392453,4696416,21675534
239258587,60266956,18070289,9034938,36844941
137842987,35137017,10534053,5266741,20654038
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
89996406,23394515,7014819,3507624,14487973
240517991,61230333,18358483,9179084,36007576
164485803,42104462,12623180,6311272,24382008
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
15664,3868,907,472,3767
