cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
77899422,6399481,5243701,10167072,116263,323435,3398724
85364402,62659,5669782,11847209,125364,367158,3588903
83484729,62958,5896817,11959956,126012,379145,3882692
134331031,35459565,170035957,8864858,1353794,280512,52854380
342146625,158013541,677335167,5770,5165499,231,254449162
342154834,157917503,687634761,4036,5046347,227,254363446
342035590,157930171,687414881,4044,5165202,221,247654967
330216799,156947192,685995678,2423,5157151,222,241255210
334399215,154965905,677145759,5241,5163190,229,247313815
341904717,157861083,681178209,2775,5157294,221,254190555
341932169,157792836,686993015,3973,5050784,225,254047987
341541604,157727875,686943143,3364,5159448,221,246125604
328729872,156407911,685907728,4749,5154675,226,241382301
335721584,155493676,675270883,5131,5164705,228,248466584
341804817,157874661,683465575,3481,5140826,224,254190418
341849661,157882949,686889270,3529,5066928,222,254166563
341241636,157685464,686220623,5249,5157832,229,244962919
328001080,155979597,685943230,2834,5157142,226,241391275
336996039,155951778,673262685,4474,5165384,225,249677532
341950500,157942927,685902061,4261,5126143,228,254282051
342067938,157961876,687228355,2832,5087459,221,254308233
340083210,157927960,687387354,3893,5164699,222,243837389
328008200,155383457,686036867,4011,5155850,226,241431749
338280143,156418931,671022426,2630,5161540,223,250777547
341855328,157843819,686881247,3092,5107269,225,254111906
342040802,157903843,686552062,4156,5098714,221,254193128
338493301,157623957,685934409,3634,5154954,222,242385374
327965486,154943208,685831512,2143,5164428,222,241365599
339635578,156959465,671143631,3551,5162757,227,252028440
342123763,157951970,687429664,3587,5089544,224,254334233
341935840,157833400,686920464,3841,5121157,222,253490559
337198366,157862241,687011537,3782,5162997,228,241743137
327681196,154028883,685672402,4931,5162134,228,241004165
341256712,157566335,671183385,3881,5161988,229,253616208
341825397,157819295,687258674,4997,5065694,231,254157974
341632781,157725899,686578930,2955,5138630,219,251944333
335192045,157548046,685917566,3088,5155608,228,241449604
328568261,153849840,684329555,3632,5158126,225,241884808
341755912,157723540,672106488,2862,5158624,224,253921837
341747808,157828098,687018116,1973,5052724,221,254143254
341655185,157789623,686654906,3713,5153967,222,250936946
334560002,157874379,687084852,2444,5163620,223,241922504
330083184,154035375,682480696,3577,5162823,228,243241993
342026643,157871238,674872258,4886,5162912,228,254196586
341863024,157749700,686599042,3677,5041216,226,254057985
342050875,157864296,686974522,2982,5163836,223,249606554
332535785,157801985,686647791,4906,5161843,229,241702284
331674409,154000403,679838602,2950,5165115,223,244725968
343051305,158301624,679804578,3980,5178917,227,255267853
341890558,157818485,686797771,3071,5044525,223,254011255
342086531,157918402,687097023,3644,5163826,220,247064004
330096982,156980593,687187490,3999,5164698,227,241998240
334562153,154986664,675006556,2093,5156091,221,247415766
341897006,157849885,682454401,2482,5144974,222,254135907
341993140,157892982,687084536,3229,5062830,222,254199563
341726069,157864895,686875767,2576,5163251,224,245388690
328252255,156162488,686525806,3604,5161189,222,241710935
336077753,155644298,672251962,3916,5156416,224,249008074
341805101,157820826,685219814,4940,5126773,229,254042486
341952751,157855543,686851852,3837,5079451,224,254189222
340483966,157783356,686869546,2677,5159570,220,244256747
328544293,155906181,687326173,2636,5164580,223,241969010
337267905,156086506,670343480,3288,5155559,226,249959658
341752527,157820528,686399960,3506,5112149,225,253996785
343228874,158379466,689184993,2353,5108041,219,255591506
337929540,157869687,686999305,3023,5163034,223,241871738
328073679,154576221,686406907,2514,5157573,221,241518945
340087748,157149867,670185721,5313,5154971,229,252521907
342195913,157934088,687413948,4131,5078131,224,254384455
342001634,157870436,687227403,2034,5135790,214,252643237
336199099,158005418,687650410,1899,5167617,220,241906772
329022039,154166108,686006406,3783,5161655,229,242374673
341315424,157651232,671036011,4279,5155484,226,253642727
341988444,157808609,686859550,5164,5053835,225,254103654
341864264,157814638,686738029,4472,5151323,224,251169639
334643525,157873460,687129644,3984,5164788,226,241714686
330197697,154165276,683523498,2943,5160832,223,243463322
341397974,157636850,673537188,2267,5155674,225,254165687
341902236,157842113,687061895,3127,5043707,224,254062210
341986660,157929472,687108836,5215,5162986,222,249683069
332911782,157933376,687048188,3049,5163008,224,241958288
332222426,154193117,680551060,3894,5160601,224,245211598
341171973,157582040,676093405,3590,5152200,226,254111354
341770252,157800509,686661215,2608,5042769,223,253966869
341783517,157815961,686653724,3732,5161449,220,248253649
331703874,157596449,687304780,2777,5165567,226,241901195
333030321,154249492,678182221,3753,5158126,224,245846708
341324351,157664096,678706924,3738,5156757,226,254102528
341722580,157787753,686532646,2845,5041836,221,253949661
341685642,157769338,686636867,3236,5160147,220,247320157
330686890,157192132,687017113,3000,5163446,223,241859250
334376234,154972738,677539584,3813,5165010,226,247340556
341300363,157631690,680010140,2474,5150252,225,254125256
341958079,157886622,687178782,2222,5050192,218,254174655
341635402,157758959,686603706,2978,5160476,220,246325446
329383428,156725726,686717115,2801,5159624,225,241864637
335048921,155227515,675107695,3442,5159942,229,247910308
341184325,157537756,681267539,4289,5134576,227,253953550
341828553,157845157,686922560,3003,5062287,219,254170242
341875952,157956375,687238994,3563,5165372,223,245804417
328593952,156395899,687010763,3767,5162696,227,241955287
335960664,155581166,674001735,3000,5160034,228,248845120
341720239,157553346,682673659,3141,5126716,224,253889416
341867012,157788665,686646992,4283,5068096,228,254018864
340994836,157730300,686388228,2884,5159914,223,244603417
328468798,156072535,687204221,3686,5164841,227,241863264
336824391,155997265,672201225,4587,5161548,226,249747508
341870056,157580634,684623624,2419,5112686,221,254090605
341689467,157746919,686517228,2660,5083249,220,253925524
340092403,157714510,686486628,4168,5159499,223,243831403
328445313,155734260,687109358,3705,5165559,224,241828057
337949933,156391910,670577616,2685,5158497,224,250604976
341835829,157681964,686191037,2812,5107016,222,254189967
341698641,157731754,686551122,2724,5091055,223,253940689
337549422,157005557,682498323,2937,5128069,222,241446040
328524548,155370602,686715034,4288,5161263,228,241746340
338288934,156481295,670300678,1341,5156396,220,250873640
341781235,157600169,685817250,1621,5095090,219,254082844
341844987,157836685,686676828,3378,5101166,222,254099927
338572415,157817531,685820693,2981,5153920,220,242451952
328353266,154947824,686618159,4505,5161526,231,241670349
339780627,157031571,671124411,4202,5163416,226,252223373
341999818,157624119,685978647,3707,5080702,231,254139652
341804445,157837857,686681051,3681,5117734,221,253654232
337379199,157763935,686364063,5357,5159027,227,241730539
328497370,154507573,686714387,3124,5161072,224,241805023
340486805,157334854,670205807,2263,5155946,221,252873546
341759194,157772330,685656375,4523,5067635,228,253966894
341717231,157751131,686446766,3297,5126366,219,252836259
336576447,157741577,686735930,2490,5160198,222,241811768
328520127,154358724,687028311,5121,5162069,226,241984956
341308278,157632772,670928031,3043,5160157,225,253681395
341879694,157844528,685961335,3322,5061389,224,254157982
341730822,157855453,686914705,5238,5137165,225,252392029
336111497,157920540,686839286,4820,5162637,227,242000514
328583279,154070265,686088294,4286,5159246,229,241974566
341463476,157700773,670694073,5726,5155753,234,253667659
341870985,157858230,685981358,2593,5053942,222,254055134
341660984,157739351,686535522,5373,5143895,226,251582978
335419775,157919847,687071256,3843,5163076,227,241932134
329526113,154152360,685417251,2238,5160569,223,242816456
341876342,157922669,672891639,4493,5163030,227,254194090
341836012,157806037,685770116,4431,5041669,226,254082979
341769972,157842142,686696231,2837,5154563,217,250970344
334372573,157763432,687032147,3698,5160359,226,241731889
330160717,154254634,684213712,2856,5162479,223,243600186
341560550,157699078,673498212,3070,5157076,224,253868778
341674815,157769886,685386838,3349,5032904,220,254004428
341812455,157882519,687213506,2875,5164604,217,250401199
333882039,157859589,686790564,3135,5161387,220,241934922
331033093,154135733,682509225,4222,5160747,229,244152614
341650325,157759031,675148636,4418,5160359,229,253915286
340956309,157361372,686207261,3665,5031668,225,253158611
341731923,157716054,686430174,4503,5158422,223,249553701
332882539,157769983,686507856,3195,5159212,226,241821718
331738255,154062691,681208413,2289,5160134,225,244907628
341506922,157671362,676736910,3536,5158204,226,253812236
341341779,157643689,686800223,2569,5036499,223,253692151
341834156,157817527,686920960,2641,5162585,218,248277940
331726307,157596731,687093882,2995,5164387,226,241920501
