cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
71930775,3689570,4932956,9553980,110815,299996,3031314
83702922,61872,5626966,12044382,126779,381260,3524219
85922845,63155,5773040,11767392,126426,379769,3990602
135401427,170460315,4987197,13458326,96634,374163,4858554
339089589,837023624,63168,21319308,293,400763,6114391
328305185,833956693,73992,21436930,284,406970,5962625
330480492,819878969,64618,21442197,292,407649,6059110
339005407,836439082,55134,20881265,305,407914,6226738
326347513,824045390,80728,20781617,276,392582,5926234
337942172,835982611,77373,21207195,304,399144,5975987
326366435,830448811,79041,21149064,281,406146,5908970
330788086,822468587,82632,21314309,299,406626,6130004
338230772,837019080,86442,20736942,279,405990,6165174
338280323,836693201,89019,21291980,344,401626,6227483
338248724,837155210,80791,21227551,245,402137,6059174
324629668,827656204,79318,21238802,267,406557,5874099
332209165,824478515,69452,21296889,330,406504,6070092
338012432,836615408,79132,20716801,268,406738,6251870
338281554,836987529,76270,21257592,290,399872,6246215
337201858,837523329,84132,21259573,321,402691,5933863
324307953,824055554,70842,21168350,294,406905,5910588
334346481,828990477,84573,21331513,290,406263,6149649
338220128,837591581,66023,20803521,278,406741,6187573
338323171,837908914,62906,21277757,259,398244,6198567
335050793,834939694,86579,21235645,341,404724,6025688
324374456,821239849,81473,21219127,297,406081,5888048
334858732,830248966,89271,21099345,667,404424,6112224
