cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
251554151,259362233,7398113,1447571,182262,42168,5465879
340815197,361385435,9214691,2426,218532,250,7108862
338573250,364045871,8459118,2680,209374,244,6866623
325676728,356795788,9358568,2436,228169,247,6801526
338290931,362855679,8523397,1695,231436,238,7054566
340340331,363980948,8623023,1616,195910,234,7099866
340186007,363157224,8999665,1523,215461,227,7073174
330727559,367028087,8079771,1411,194923,239,6743557
331136444,355572304,9071327,1403,232499,232,6928830
340673074,365129034,8701367,1701,209755,240,7163640
340052646,365013013,8628536,1368,201891,228,7136844
337202196,365033382,9023337,1253,214136,223,6770753
325829306,357802260,9224288,1279,219410,228,6688875
339986473,365168732,8853724,1263,223733,230,7075828
