cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
248416742,679013097,1512955,18622838,26925,340636,6953612
339255113,943289243,382948,24767563,2399,409002,9479828
338748368,946379919,386656,24803535,2391,411037,9160418
325465698,932868071,363416,24778186,2293,416068,8873579
337945825,943787699,365556,24575545,2386,415567,9398031
340243873,949121092,359670,24322819,2086,416485,9486345
340151278,946483943,367255,24800983,2400,406365,9310357
329465363,945410756,388873,24760405,2395,415818,8910002
331899116,929180727,371098,24738957,1926,415389,9127706
339964480,947936429,359111,24205905,2310,415668,9524130
340020098,947758574,349225,24707864,2172,408327,9453688
336032699,945132779,352931,24778918,2282,412621,9117171
325778723,928088380,358975,24798014,2177,415107,8914927
340645541,948850800,371178,24490548,2417,415964,9471274
339959183,947444890,355304,24533628,2226,414962,9454769
340517843,948961941,373308,24789711,2224,408417,9233114
327220605,937953443,365345,24680780,2172,414837,8934466
333612756,934714534,354162,24772085,2239,416382,9245610
340803582,948639557,381754,24355253,2110,416156,9614360
340175824,949260196,359053,24802462,2231,406764,9439560
