cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
75474582,4919930,5206782,9975905,117643,320283,3188042
85189819,62647,5710663,11826290,122712,372240,3674732
85213847,62905,5940208,11993859,125943,372996,3858019
82569371,62533,5632355,11960417,125740,378395,3459993
84680181,62427,5731983,11736023,126183,378848,3605065
84824629,62535,5528687,11989009,126409,379681,3619068
85770165,63146,5654374,11760274,124986,380498,3642057
85503409,63135,5966044,11936514,125224,372318,3980681
84570130,62967,5646873,11985173,126208,379953,3457653
81665047,62069,6133355,10727586,126721,381429,3837568
85486408,62935,5530943,11939610,126581,380337,3632260
85766556,63134,5708927,11858573,124178,380422,3675468
85764765,63142,5956998,12120834,125802,371929,3972437
84389280,63102,5680337,12433710,126481,380809,3482878
83042259,61753,5693540,12450289,126655,380069,3535781
85918376,63243,6114256,12307880,126642,380889,4219402
86155411,63209,5722946,12347866,123783,380709,3683330
85996888,63166,5987524,12464685,123797,376656,3981474
85969759,63091,5709632,12425097,126538,374427,3557656
83006622,62659,5786364,12384242,126544,380001,3645423
84460389,62366,6109063,12468964,126771,380899,4135521
86122919,63181,5676038,12156541,125810,380515,3701951
86201986,63148,5726202,12421121,124508,371614,3748876
86000070,63075,5682275,12426124,126388,368113,3675464
84961150,63284,5766525,12426434,126715,378453,3512569
82975011,61754,5691682,12457128,126618,380009,3513736
86184196,63208,5567790,12332937,126727,381004,3668240
86219672,63274,5713104,12290854,124116,379332,3678759
130763122,6548327,4344391,99720914,95618,733822,40154152
343899751,31867696,140785,465351837,558,1990581,158676956
328569765,31266628,142741,463406677,622,2002804,155197388
339344608,31617050,143369,442905510,815,1926601,155492661
342025441,31850857,149130,432469178,886,1913296,156012147
342625228,31892366,144261,440992052,782,1870440,155565082
337014864,31922707,141342,442009120,748,1918107,148275210
330109988,31194616,139940,441429801,642,1915102,149102669
343189334,31927768,146212,434055261,901,1915968,156363479
341984474,31815281,146809,438589016,727,1902163,155950048
342001268,31821647,140938,440871527,737,1879740,152365375
331334356,31758560,146611,441904039,1018,1917644,148432261
335677436,31401444,144362,441799559,1094,1918778,152390714
342810247,31920545,148495,431528153,967,1917353,156258888
342217187,31830149,144050,441391958,861,1881085,156140137
339440958,31838940,143121,440505496,845,1902825,148819367
328543752,31215850,139870,442844578,648,1919106,148404070
342533777,31871374,141264,436153027,696,1912889,155942599
342830237,31899466,139091,436576622,767,1915317,156347400
341176489,31742171,143873,440567107,671,1870678,153096113
333467308,31847516,147025,441567014,755,1913375,147985544
333391284,31161163,145001,442013591,954,1916178,151165502
342862395,31905324,137408,431305019,595,1916054,156414704
341810307,31817656,140593,440157914,800,1887813,155780805
341771579,31809533,139645,441148370,718,1897203,150518466
328507196,31453124,142618,441427272,635,1912366,148119842
337897820,31487935,139288,440272812,768,1911835,153461989
342958394,31879377,146639,431145072,863,1912760,156398778
342953685,31863022,142348,441219279,928,1868603,155843786
336340085,31810556,142448,440932215,827,1913531,147809393
329223340,31060324,136969,441230442,626,1907867,148770828
342031014,31782595,137113,435357015,618,1910204,155850328
342846377,31859754,141418,435701742,903,1909042,156015016
342902041,31881308,144747,441370647,811,1873422,152998183
331505213,31742293,140942,441553857,725,1918738,147873165
334503099,31143476,139469,440722196,731,1908382,151247781
342745356,31850330,140151,430848125,657,1911130,156193769
342596015,31821159,141524,440647647,733,1881161,156205297
340931920,31821374,146994,441347224,850,1899305,149910333
327823907,31251593,146076,440803846,1007,1909128,148307859
340245827,31625358,138689,438329713,708,1908566,154576603
342884786,31895900,145984,433975817,916,1915675,156436661
342033267,31812293,156463,440710991,1229,1867544,154611273
335636685,31842920,141622,441910496,649,1917370,148185173
330015445,30994852,142188,440970608,833,1911149,149869376
342927107,31866078,136785,433849568,683,1916094,156226151
342838644,31770815,145335,439081602,802,1893880,156232314
343779150,31924784,141765,442313272,698,1885380,152000317
329065147,31485613,143535,441005904,646,1911178,148137578
336986043,31369734,135018,441063833,658,1910658,153619727
342805271,31820850,143743,431155417,806,1910333,156240848
342910507,31874448,144186,442376791,905,1873304,156563876
337576207,31864837,141999,441398111,590,1914232,148030394
329326688,31118232,144273,441545811,869,1913807,148802269
342037254,31770536,137423,435197391,754,1913732,156567818
342769809,31778658,141074,436960940,682,1902051,155999179
342514017,31815300,145725,441626207,798,1876262,152903247
331729010,31713308,140429,440999213,763,1912033,148095918
335245533,31241670,133745,440752056,652,1911196,151750612
