cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
39720508,8963827,52739,102747,2851865
49226884,30835,61649,156423,3632378
49180639,30817,61610,156052,3646327
49213917,30840,61659,156133,3650608
48734393,30527,61039,154584,3636320
49144661,30785,61556,155854,3656777
49186862,30815,61616,156027,3647229
49205853,30843,61661,156115,3640292
49222147,30836,61655,156087,3664475
49220709,30843,61665,156202,3650990
49268693,30877,61728,156310,3655556
49303468,30905,61790,156445,3659420
49237267,30868,61718,156273,3655322
49199680,30844,61670,156145,3642961
48678146,30515,61016,154184,3619767
49201139,30847,61677,156137,3646260
49272986,30889,61749,156314,3659227
49210861,30841,61660,156132,3654942
49237155,30836,61647,156061,3694524
49221018,30852,61688,156132,3654804
49187028,30822,61632,156046,3658543
49239147,30867,61720,155925,3672758
49198711,30822,61629,155988,3676475
48973303,30671,61326,155326,3685193
48645477,30481,60941,154272,3626861
49167655,30810,61605,155633,3678378
49128908,30788,61550,155839,3652198
49263639,30844,61670,156436,3670658
49258713,30876,61736,155935,3668838
49205809,30838,61657,156104,3653615
49215132,30844,61677,156103,3654841
49205425,30842,61666,155778,3663539
49273124,30886,61744,156033,3667281
49107589,30784,61548,155402,3667116
48688951,30520,61019,154226,3634337
49012941,30821,61615,156085,3647728
48969791,30833,61639,155637,3665713
49050598,30864,61713,155803,3684172
51282891,31864,63722,179334,3142947
52773945,32499,65006,195497,2774976
52764860,32490,64965,195520,2782287
52824650,32536,65071,195780,2780854
52774929,32504,65017,195592,2771984
52517351,32333,64661,194601,2776389
52856839,32318,64633,195212,3611536
52878044,32356,64707,194604,3586985
53348948,32617,65235,197023,3666440
53304852,32777,65556,197240,2980517
52754710,32489,64972,195495,2778066
52763166,32504,65016,195591,2775057
52783805,32511,65026,195514,2776567
53333460,32837,65683,196777,2828297
53331349,32844,65699,197672,2805173
41676960,25033,49996,155129,2292127
45816926,27736,55405,170174,2451996
52714621,32470,64955,195415,2766737
52712547,32472,64957,195455,2768482
52770934,32512,65021,195634,2770248
53318264,32843,65695,197657,2798267
52779626,32489,64979,195505,2779117
52818379,32524,65058,195602,2784749
52800757,32532,65062,195657,2772123
52810048,32524,65046,195682,2770751
52700549,32342,64682,194715,2911477
53228635,32453,64913,195391,3599181
52919036,32519,65041,195772,2840146
53382428,32819,65638,197565,2797146
16643372,10107,20225,60724,982842
5424861,3171,6355,18934,414956
5527897,3236,6490,19365,422873
3481801,2024,4056,12207,271505
1507289,872,1748,5261,117036
5158529,3017,6045,18036,396344
4489219,2624,5263,15730,338088
2613703,1505,3020,9239,202941
4356509,2541,5089,15253,329334
5488831,3198,6404,19127,415468
1545282,865,1731,5479,123138
5929520,3473,6960,20789,444408
3659988,2123,4257,12783,284391
2952486,1685,3377,10283,251338
4703326,2713,5434,16300,395790
3584026,2061,4126,12437,302565
3964162,2290,4585,13727,328004
5155535,3012,6033,18027,393363
1416280,793,1587,4928,112965
5222103,3055,6127,18252,404715
2289141,1317,2636,7947,180249
4637083,2706,5421,16189,353688
3075045,1768,3543,10681,241153
4442195,2578,5174,15585,341623
5026210,2938,5888,17540,387195
1680594,940,1883,5820,131366
5811236,3400,6820,20326,449976
4062901,2344,4704,14057,345601
3478904,1993,3992,11978,302763
