cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
44646114,8966684,57770,138511,3042143
56642031,34677,69363,204781,3599030
56897934,34816,69636,207336,3777974
56917685,34870,69749,206462,3616496
204804431,71610454,2341612,22784,143547474
238663536,85331405,2751650,85,171030653
238077583,84678142,2730569,95,169681636
238982251,84922419,2738316,107,170111206
239058289,84885349,2737098,100,169936348
238911208,84782984,2733988,112,169904557
238812212,84604982,2728115,138,169499357
238916473,84698695,2731404,143,169658881
238689616,84615708,2728146,116,169436282
238405327,84558110,2726593,121,169292529
240938876,85461729,2755522,94,171108836
238790462,84649870,2729888,90,169564417
240483320,85147700,2745864,134,170519682
240934749,85378153,2753030,115,171026864
238902244,84644321,2729737,118,169553119
238928753,84646522,2729828,122,169567850
238712238,84591094,2727982,159,169461766
238889368,84662332,2730158,133,169574341
238993190,84742498,2732611,92,169614292
238978082,84764160,2733091,100,169767897
240867579,85404541,2753895,128,171075503
238800298,84665091,2730178,114,169504192
237982980,84252264,2717249,110,168732437
238797258,84601014,2727945,130,169444012
238687100,84583895,2727363,110,169341826
239023978,84676096,2730920,118,169672398
239009099,84639392,2730021,131,169562021
241302936,85525714,2757592,120,171117794
238772681,84624109,2728931,113,169397787
240718403,85285835,2750621,122,170792543
241054840,85417988,2754195,119,171088138
238852679,84642213,2729634,121,169489564
238211908,84357354,2720314,110,168991270
238771095,84563691,2726765,131,169306788
238917665,84660534,2730248,138,169537940
238914300,84649312,2729426,120,169461735
231144284,83719840,2699691,99,166301472
241309135,86048311,2774941,103,172217476
239004702,85297708,2750198,122,170734657
238810543,85210560,2747682,115,170523348
241179309,86013784,2773957,94,172137589
238720963,85141995,2745712,113,170238393
238044334,84869629,2736617,108,169692736
238667312,85093573,2744023,100,170234095
238735229,85119303,2744722,99,170350676
241300551,86043971,2774541,98,172051104
241223930,86037338,2774492,127,172113045
241298613,86082318,2775869,143,172193076
241274913,86042576,2775090,138,172146426
238713807,85146822,2745765,114,170278513
241095003,86002989,2773250,128,172113176
238944577,85199655,2747696,122,170602909
238144634,84929490,2738650,116,169825519
241010481,85917647,2770279,137,171903702
238895691,85183752,2746780,110,170380275
239206789,85327530,2751319,128,170677985
239147158,85317672,2750977,130,170737331
238835278,85172716,2746338,111,170472596
238851479,85229508,2748086,105,170519884
241294812,86131143,2777585,100,172206741
241004160,85935068,2771350,119,171986485
238732358,85168841,2746585,114,170515065
232814587,84108704,2712509,125,167092602
238842968,85027667,2741852,106,170083412
241389665,85979367,2772336,106,171961204
241271330,85955342,2771559,110,172003306
238922024,85078042,2743210,104,170093850
241081919,85888041,2769562,89,171828063
241367323,85959652,2771808,119,171937954
241195177,85931689,2770444,105,171820188
238759894,85035355,2742148,141,170112241
237722450,84689767,2730866,106,169442353
238222880,84800623,2734209,117,169597630
238938894,85070066,2743150,117,170315651
238826987,85038114,2741862,88,170122594
241302230,85935285,2770831,111,171829000
241212272,85916685,2770110,97,171881184
239062392,85143390,2745250,105,170331926
241215658,85843433,2768558,144,171761541
238847653,85082909,2743392,122,170212644
238796473,85040470,2742609,142,170060890
238832928,85068990,2742570,92,170145699
240548566,85630462,2761048,137,171314406
238448185,84865740,2736783,100,169821863
238773278,85056636,2742477,108,170031923
241271913,85897589,2770059,117,171965101
238851336,85047507,2742489,110,170181632
238753212,85054668,2742605,120,170122226
239082165,85109135,2744692,88,170209105
238838829,85062697,2742565,119,170208706
241067793,85864760,2768801,120,171763647
238865193,85096642,2743818,98,170204689
238484123,84881379,2736925,91,169881621
241266776,85893249,2769789,117,171691514
238769017,85019638,2741928,108,170107552
238906526,85115273,2744531,85,170266705
238745623,85021653,2741562,103,170065039
238952344,85082929,2743027,116,170155157
238834064,85059194,2742909,114,170230781
241260491,85901681,2770323,109,171844560
240976930,85836271,2767456,103,171766537
238805972,84992699,2740936,131,170040112
238001741,84692216,2731039,125,169455716
239009679,85079158,2743095,102,170224910
239167219,85151885,2745472,113,170428258
239335182,85244636,2748474,113,170464314
239050033,85164935,2746546,123,170374296
239045625,85137128,2745196,122,170291173
239034770,85141775,2745928,100,170413511
241030739,85856734,2768446,121,171829843
240920324,85760290,2765430,105,171467296
236560765,84249412,2716830,113,168567444
240437751,85516134,2757995,109,171144352
238796163,85040377,2741972,144,170157154
238934901,85118466,2744767,101,170353925
238772726,85073175,2742667,99,169983037
241108436,85841014,2768253,116,171784265
241226852,85932217,2770900,136,171884162
241164998,85910702,2769891,97,171814202
238912894,85021560,2741814,126,170056289
238795321,85092271,2743308,98,170194303
241117364,85889498,2769826,114,171723115
240320388,85583828,2760163,114,171115792
241314786,85896907,2769800,106,171804610
238822996,85001937,2740888,100,170046163
238854208,85046546,2742940,137,170073050
238876807,85088644,2743494,97,170114080
241277369,85889591,2769838,121,171848036
241124852,85898085,2770009,145,171857584
241054688,85883950,2769503,113,171800583
238765054,85038083,2742032,106,170172374
241285139,85966564,2771682,97,171873242
237906655,84766771,2733048,130,169485325
238777547,84952524,2739348,110,169919884
238793344,84986406,2741051,115,169884575
238771334,85021715,2741676,140,170092591
238732666,85058853,2742560,102,170065003
241084605,85831218,2767848,123,171694490
241114343,85908253,2770316,122,171736214
238855776,85094968,2744002,96,170272759
238556467,84971402,2740119,111,169929084
241283117,85950972,2771382,95,171855370
238028559,84746559,2733072,101,169458262
238743157,84976703,2740339,113,169995858
238840970,85000077,2741200,97,169985232
238768890,85013221,2741316,124,170115041
241283860,85918844,2770188,113,171855453
241209559,85867922,2769030,113,171771956
239044153,85144537,2745723,124,170495971
241188824,85910083,2770508,88,171944918
236226779,84128635,2712929,119,168283379
238763202,85056063,2743001,130,170096163
238114784,84813643,2734627,87,169696765
