cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
90954546,142043849,5103576,1040686,104714,27928,2335179
13743466,22130381,1072779,48848,21328,842,151050
70492836,155284823,1157361,9059129,61299,240159,2928576
75461799,168303817,266836,9971323,64521,264897,2820064
76398907,169354975,266354,10294842,66105,259743,2861892
74481838,170185204,266406,10271033,66541,267245,2677246
72644817,162450446,258952,10077883,65159,261095,2701065
76288204,169864715,262929,10078975,66453,266802,2868281
75772262,168687979,264477,10215118,64452,262762,2858520
74929050,166707910,262228,10081734,65258,258347,2749760
73065842,167084343,263698,10279025,65628,263909,2756733
75108488,167785184,262098,10319957,66728,267961,2772320
76290091,169827626,264512,10101512,66164,266615,2879943
76529095,170014578,266050,10417724,65313,262901,2939067
76290243,170106770,266333,10309554,66520,265300,2795043
73396813,168097782,266202,10297856,66554,267252,2709127
75463956,168342059,261159,10314346,66530,267181,2843413
76280517,169639172,265602,10100643,65849,266537,2917921
76334850,169912126,266437,10302393,65549,261714,2878957
75800488,169778421,265787,10312608,66434,265590,2757534
73416126,167087527,266060,10357162,66399,266649,2758611
75664669,168720097,259875,10249503,66432,266786,2827226
76432947,170172448,266050,10117331,65607,267118,2900392
76286032,169764567,265543,10331634,65949,260628,2879414
75297882,170401268,266466,10314140,66621,267646,2743085
73535885,166054090,265755,10334783,66473,266887,2758158
76573586,170327010,260718,10245642,66600,267434,2935507
76493050,169911596,265906,10284362,64937,266417,2904941
76035117,169217057,264862,10268707,66176,260456,2812275
241056380,99622668,361528460,64311800,2504367,597802,137524274
332592381,56840364,556963431,93955617,3985084,797572,217204014
342708170,57709074,559234421,92196604,3999739,795595,225641060
342121479,57508827,563043457,94314207,3893220,787887,224542249
341976023,57104579,563952247,94416837,3984290,789337,216739803
328282900,56264055,563862873,94741345,3980825,798782,213338659
337798119,57198894,550089134,94097635,3977964,796115,221287151
341484172,57424066,563007732,92299506,3947626,796161,224162254
341912852,57096367,564344536,94540185,3933839,780124,224519964
338237784,56958053,564648500,94390657,3984032,793844,213461267
329746336,56160693,564861321,94931702,4006425,799629,214986156
342633610,56971905,555073594,92804358,3996911,793989,225488829
341748293,57070605,564218831,93379534,3894808,791643,224395774
341272779,57959077,563000903,94033156,3982859,780525,219546818
332118206,57067549,563480812,94362096,3982293,795580,213738726
333388440,55908929,557656535,94570932,3991159,798577,217893944
341851441,57076612,557486432,91870572,3974746,796133,224243378
342501062,56911386,563788463,94485341,3896199,788612,224843328
341732479,56901354,564288834,94646726,3987024,787485,216669923
328322950,56416052,564953474,94380994,3986122,797275,213092732
338609139,56780787,552634956,94344987,3996118,795540,222112237
341738364,56943488,564518750,92468602,3936188,794166,224402899
342503116,57261847,566049385,95396420,3966151,779645,225104112
336321275,57017201,564068885,94614752,3982276,796589,213419178
329803395,56027623,563353255,94430380,4000005,796297,214919241
342604807,57474194,554085546,92917721,3993811,795282,224981740
341481924,59265312,563137263,93294286,3888704,793047,224095789
342843799,57952529,564859307,94314669,3988199,783593,219732716
330755745,56939836,563845258,94095802,3978032,792179,213174183
334986386,56181856,556101196,94782059,3993948,797776,218985183
342714087,57145066,561332165,92165949,3968161,797522,225224896
342922508,57024548,565361412,95054022,3931386,783038,225398863
339214488,57124118,565995663,94492038,3992015,792520,214385247
327646083,56124108,564313519,94246384,3985819,795655,213387806
342385131,56894003,551219463,93212731,3978124,796959,224435809
342950895,57072744,565908704,93733520,3905594,796289,225550274
342007342,56894606,564702814,94582104,3986063,778354,220326527
332563967,57055793,567169552,95281125,4007307,795894,213904710
333911693,55512692,555454753,94036117,3973923,793054,218168652
342412943,57325520,559764138,92372473,3963801,797894,225053512
342902514,57221135,565517918,94743792,3924399,783936,225296860
340258650,56797566,563908548,94281738,3977457,787988,215258750
328359880,56041148,564930246,94347746,3992813,796824,213586131
339970843,56594478,551815991,94907765,3993522,794147,223274943
342901263,57233797,565448828,94542965,3934802,798237,225742816
342471249,56628257,565011246,95226663,3975940,778199,222682923
334898335,56921928,564822582,94139339,3986878,793251,213456860
329957491,55662631,561924439,94076774,3987869,794741,214695987
342766583,56822431,554178953,92605783,3986303,792925,224913172
341711455,56962231,564091144,93443021,3891154,790999,224535855
342800551,56958326,565423739,94421226,3997649,779204,220065864
331520406,56846168,563201540,94248681,3975317,793414,213482229
334117435,57509333,557291706,94121993,3989081,795635,218729447
343320656,57895287,559445300,92119572,3966696,794429,225756106
342806751,57436530,565333673,94602021,3927023,781596,225012965
339644881,56963501,564963837,94547030,3993589,792740,214837729
328325431,55879863,564031281,93870516,3979296,794212,213299886
339281413,56413236,551219910,94009587,3986799,793247,222272280
341802059,56832808,564347299,92561630,3923892,790292,224714470
343780380,57357399,566336584,94978523,3961619,781267,223854089
334818468,56843761,563838939,94126787,3981662,795663,213242535
330964549,55770821,561826889,93963593,3991308,792212,215881749
342385873,56920361,555537621,92518309,3983891,796368,225041701
341653049,56690438,562779675,93936515,3887327,788126,223996143
342996978,57161983,566160427,95154274,3997725,784668,219249269
329954932,56719497,566809917,94539684,4002861,795111,213577498
337482134,56524778,552845579,94495154,3997120,795034,220872433
341541111,56762968,562919553,92359474,3941770,794521,223724759
341828971,56822880,563463150,94035660,3924250,775905,224472618
339184548,57141691,566654008,94955438,4005624,796306,214670152
328360383,55660588,565290306,94392361,3986613,793836,213201324
342908408,57095984,553144042,93434861,3999251,796625,225588548
341794412,57036941,563289773,94053424,3889795,796986,224247912
344942758,57240725,567659854,94600090,4007684,778121,220863709
330261866,56710394,564267070,94590224,3984735,796754,213321300
335628215,56092422,555548645,94850158,3999355,797288,219643142
342544009,57054864,562147334,91843055,3963775,793992,224965187
342723198,57212610,565550150,94701863,3931438,781135,225252538
339070099,57340114,565790492,93921066,3984115,789068,214641685
328300643,56959213,564640566,94568315,3992851,797098,213393877
342646421,57260130,550887666,92938706,3978932,796682,224779596
342492790,56944891,564222571,93386792,3894216,795339,224797296
342642613,57151364,565416614,94584436,3999625,779573,220683432
331925770,56657776,563305183,93615351,3976773,789991,213082208
332576203,55634915,558478977,94322415,3984673,792944,216888328
341905236,57030677,557098305,92144417,3985006,795401,224353595
344486690,57399545,568572813,94972722,3931873,788080,226596421
341086508,57183464,565558082,94610720,3990130,789642,216400208
327775454,55950387,565478309,94006629,3983217,792122,213011336
339669790,56618513,552375059,94113943,3995656,795982,223094075
341672611,56750337,563673360,92420212,3918619,792847,224362572
341646827,56933628,564368582,94598956,3956076,775148,223633342
336860484,57197329,565764748,94304666,3993523,795405,213516103
330015878,55682463,563150098,94111691,3987118,793829,215060032
342799662,57023265,556935654,92475545,3997295,794580,225239527
341633046,56834874,563880450,93834642,3892303,790232,224289273
342791961,57038137,565317497,94553921,3993448,783370,219184237
330113284,56678568,567606958,94569766,4006264,795538,213759948
336827667,56170109,553272425,94260218,3989688,792911,220399377
342659603,56978520,565449148,92126787,3949152,793930,224990381
341868353,56847829,564303424,94217304,3938821,775928,224577558
338177448,56985986,565189702,94480612,3990065,793799,214009019
328419254,55793421,565183838,94502874,3994802,796002,213709590
342222809,57055072,552851998,93322963,3985063,793387,225244999
342553822,57255738,564737478,93311733,3896687,792692,224997606
342836234,58469999,564259321,94223459,3986607,781473,220169193
331884083,57141585,563104260,94210032,3967732,796331,213211066
333853818,56251172,557618362,94896380,3993723,798063,218119186
341913819,56916243,559048086,92017994,3976056,793137,224512046
344359579,57252543,567806353,95055515,3928234,786122,226608895
339256539,57004621,565989592,94685997,3993624,794850,214391857
328202807,55788898,565937318,94429628,3992583,794736,213609865
342144204,57101618,551494064,93644227,3990069,795191,224897357
342512519,57010055,565469259,93655412,3901552,794036,224867217
342778985,57073526,565018197,94677423,3994242,779347,220274537
331937958,56856099,565428641,94729785,3993160,796970,213495524
334685043,55887254,556152181,94825477,3990498,797574,218472913
342045987,56946590,560679397,92397056,3969310,794449,224653360
342871747,57124377,564849890,94543762,3918128,782722,225100126
339924091,57064332,565079095,94618052,3988305,791497,215443691
328378061,56081991,565228394,95241644,3992529,797413,213649685
341863893,56955360,553324427,95046278,4007638,800691,224522316
310241421,49433109,507042027,83484782,3468870,693621,202101228
338849209,55479159,551507506,91865600,3885806,758831,217827444
329514937,56446475,564484825,93894410,3976460,791300,213262341
336059415,56317193,554832116,94345946,3994063,794271,220142761
343302454,57088498,563924215,92445764,3958965,797768,225881123
341184464,56739572,562879615,93994523,3926659,776643,223624545
338783825,56872132,566323918,94321128,3994696,793421,213990241
328582590,55645824,564618482,94018709,3986091,795194,213570128
342870830,56924891,553470682,93124549,3997068,793722,225367597
342612943,57193569,564853732,93669391,3899778,795119,225121829
342120546,57481687,564064969,93844619,3994541,778478,219593423
331497655,56692065,565931400,94402324,3992598,795053,213629895
335229143,56019029,555995026,94257395,3991878,797479,218749723
342477135,56899095,561765522,92388214,3966288,794730,224845978
342901493,56917698,564884696,94715363,3927020,781077,225280721
338928707,56896551,564791804,94603216,3995094,794659,214090020
328367622,55717972,565193985,94605997,3987500,796077,213433366
342377883,57129949,552665377,93634849,3998699,796127,225242905
342567740,56973459,565351820,93478557,3908972,794025,225113845
342713644,56906841,565419551,94932113,3994130,780431,220459100
331693490,56716868,564180831,94599368,3981389,796335,212884408
336339084,55945013,556445674,94455146,4004190,798072,219789461
343353455,57089520,564782932,92647156,3956034,796657,225865001
342830597,57062945,565465833,94674715,3942716,779059,225170837
337763639,56999930,565125894,94731137,3989975,797189,213402264
328284703,55653908,564437191,94641702,3992684,794469,213589881
342642496,56934729,553396847,92977389,3992160,793538,225157615
342614810,56863494,564472678,93625239,3898019,793585,224854611
342722822,56991634,565351620,94513522,3995443,780955,219975585
331483602,56754744,565211054,94106934,3987325,793688,213542243
334463234,55754743,554264315,94696131,3984556,798606,218310541
342829414,56982132,562498898,92599962,3962154,797538,225285733
342757518,57048752,565610786,94702866,3929035,781740,225018696
339163378,57052313,566296812,94793859,4007445,794607,214496827
328321793,55923800,565984167,94774301,4001167,796331,213939114
341517269,56896628,551111689,93281532,3982687,796531,224249530
344137401,58051916,566671416,93751858,3913512,797614,226254682
342892301,57207310,565801446,94749278,3997596,782669,220020083
330971039,56641786,564519825,94666820,3989539,797136,213364984
335755109,56090838,555033779,94774307,3996444,797181,219535028
343077963,57039394,563229674,92320005,3958003,798922,225472175
341891897,56902284,564500447,94111342,3935314,777913,224635217
338816611,57086679,566508600,94624757,3996166,795854,214308880
328236834,55733360,565589528,94321586,3995824,795048,213545333
342653515,57112319,553674719,93423579,4002463,793992,225269509
341340153,56745232,563096256,93017345,3886078,793913,223585360
342595886,57015684,566069814,94456702,3997826,777675,221272192
332858062,56987916,565436052,94474706,3995562,794740,213356184
333772872,55859004,558150569,95220498,4002427,795324,218335053
342452826,57074309,559181430,93338753,3983811,797129,224936612
341857946,56819845,564745035,94021763,3905063,782003,224735844
341058114,56948573,564643079,94020349,3985785,789762,215756952
328398297,55994545,564897196,94510157,3988412,797491,213108141
339929702,56660802,552131434,94026973,3990615,796665,222978833
343288468,57101902,566041830,93222884,3928721,797182,225334566
343464888,56956910,566655125,94534956,3984870,778090,222245243
332950832,56964043,565327535,94917420,3995771,799350,213526591
334323134,55893972,558155381,94521156,3997807,794771,218576171
343250353,57083621,561329317,93002499,3980363,797636,225597717
342864163,57149052,565147511,95013304,3927805,783190,225186445
339006017,57031729,566343469,95140715,4001966,794837,215112662
328719675,55779307,564913320,94347290,3984310,795505,213869414
343147347,57688328,553609128,93469773,4001701,799060,225567612
342679515,57284373,565875732,93629511,3904762,792001,225256151
342798522,57053645,565412325,94641516,3993755,782468,220055182
330547322,56721582,564136080,94263558,3983834,795430,213425441
335762420,56160947,554933698,94345974,3992321,795739,219349765
342573556,57055724,562821072,92608004,3974268,796066,225130369
343131158,57019138,565905644,94603736,3938268,780054,225143189
338601393,57122890,564759339,94623567,3990029,794310,214423281
327712898,55729235,564225167,94413006,3985307,795276,213581724
342407364,56994578,552459007,93416534,3992240,795319,225074018
342672874,57043418,565917283,93388948,3899594,796367,225186310
342820584,57049750,566023780,94674287,3998448,778784,221019462
332252054,56956531,565917533,94181741,3993514,795653,213638991
334473851,55853266,556304911,94248412,3990142,793593,218608337
342633551,57067365,561155473,91988404,3978819,793467,225124163
342780640,56955943,565090755,94273156,3918892,782732,225045353
340299916,56976432,564985431,94726553,3991355,789853,215392578
328296997,56156208,566065080,94481857,3997339,795611,213530864
340628605,56513504,551232536,93629934,3991680,794824,223317416
342837726,56951468,565691007,92956581,3912988,793865,225013835
343276288,57051914,565919911,94368038,3979833,778351,222000216
333348926,56862187,564154299,93863283,3978371,794440,213159043
333274554,55697369,558093281,94089907,3991182,795105,217244700
344238664,57223911,560794980,92176607,3980004,793886,226150462
342915788,57018909,565274351,94425088,3917999,781452,225529863
339834212,57055651,565098819,94510787,3986799,791455,215200441
328282379,56194873,564347883,94651667,3989037,796316,213076775
341939039,57848062,552136223,93671036,3998562,801611,224610195
342359899,56800878,563518412,92315868,3885593,792467,224447201
342701791,57093693,565791518,94310623,3987570,776047,221718591
333074278,57814481,565271422,94358377,3993829,797327,213570917
333675375,55951609,558265681,94312609,3999474,794505,218395192
342687231,56972729,559714156,92148092,3974223,794754,224726491
342744045,57000742,564018365,94158887,3900942,782536,225152189
340841276,56991671,565211609,94144462,3985643,789700,215826267
328285053,56116367,565045879,94602889,3995066,797495,213349581
339354918,56653791,552119617,93707422,3997912,793801,222514590
342590502,57150137,564407369,92614949,3926689,796900,225062429
342607840,57073413,564457166,95397215,3966857,779457,223084566
335345976,57153163,565407988,95696967,3992376,798001,213984225
330385001,55746109,560222390,95519497,3985277,796529,215638988
342538950,57061384,554805621,94143730,3996844,798850,224913872
342411171,57011348,564531061,95132883,3899982,793245,225202342
342650819,57366124,564534621,95629057,3995488,784663,219288759
330376302,56612344,564218864,95397716,3982817,797955,213625047
335961700,56184380,553868219,95663657,3990305,799699,219804536
343013393,57133775,563204853,93753688,3966704,799985,225554743
342986253,57076731,565484214,94520990,3936405,778075,225457472
337755335,56953892,565389410,94014863,3990827,793043,213493119
328838469,55494918,563638576,94078166,3981485,794422,213565028
342712269,57007642,553690318,92920391,3986332,794752,224930438
342606238,56971788,564920960,93488823,3892490,794629,224817404
342905275,57126905,565454743,94384436,3993589,780536,219794614
331140018,56721757,563964885,93802748,3981042,793424,212709733
334725505,56022376,555585105,94035135,3986546,794377,218828644
342872139,57020264,561799725,92209028,3969975,795578,225212099
342807792,57258799,565163021,94737376,3930310,781570,225155921
339347829,57319439,567025371,94588154,4002514,793962,214679789
327861030,55552288,564144193,94249214,3979130,795887,212555549
343002460,57055423,553433578,93413104,3999728,795856,225520198
342611547,56996167,564844301,93667240,3898526,794214,225005307
333963342,54716920,552480177,93173823,3939361,772223,216797318
331353095,55629384,564337905,94968931,4016375,797296,213099607
332518912,55787133,556825998,94002242,3976461,798087,216752578
342010971,57010173,557545895,92541484,4001745,799476,224452697
342683366,57150410,564583312,94790461,3917119,793423,224663480
342096828,57131829,564280232,94424930,4000051,792652,216365604
328158363,56464836,565442260,94578371,4006213,800404,213460636
338261356,56403233,552428169,93975942,3995817,796311,221376698
342786612,56901066,564948501,92735538,3943675,798072,224939505
341555312,57095624,562651732,94634887,3968834,783221,223009459
336625030,57205224,565553824,94978413,4008518,803270,213344107
329900651,55880118,562269098,94579730,4001224,800293,214891322
343842399,57216442,556170086,92917876,4015325,801353,226077880
344554760,57487065,567969397,94994480,3941573,790825,226827099
341042076,57040422,563535401,94534549,3998562,796498,215428573
328306141,56257272,564586754,94477974,3998639,800824,213289314
338996108,56542960,550016239,94151166,3993888,798343,222108748
341276743,56868618,563995122,92544461,3935899,796839,223967851
341818890,57388438,563572719,94503021,3963330,780909,224284814
337429593,57190478,564279811,94257979,3999213,798390,213572976
328379348,55935032,564592488,94937975,4004937,798127,213929560
341059402,57040164,551314084,93548339,3996397,795898,224033907
341199177,57183543,562977903,93204210,3912098,799003,224033094
343516191,57544522,566882576,95106562,4009053,783533,222934020
333432042,57111517,563959982,94641008,3997954,799295,213255489
331397556,55821305,558623837,94319073,3997062,797173,215765280
342600189,57032504,555678373,92960594,3998698,800132,224697548
343003542,57020535,564961415,94634895,3910494,790774,224908582
