cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
2559066,2562440,2860,1114,141234
208463,310877,0,0,231
118944,177644,0,0,152
89287,133233,0,0,120
59736,88822,0,0,68
59823,88822,0,0,73
29834,44411,0,0,43
29780,44411,0,0,52
29764,44411,0,0,49
29737,44411,0,0,49
50637,47250,48,5,5552
109711,242152,30,2,3058
30059,44411,0,0,44
0,0,0,0,0
29928,44411,0,0,56
0,0,0,0,0
30342,44411,0,0,54
0,0,0,0,0
29748,44411,0,0,26
0,0,0,0,0
71041,80197,52,6,6034
0,0,0,0,0
0,0,0,0,0
30377,44411,0,0,52
0,0,0,0,0
29991,44411,0,0,43
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
31356,44411,3,0,733
17926,2839,48,6,5470
0,0,0,0,0
57017,77358,75,3,3335
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
31389,44411,2,0,713
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
17376,2839,47,5,4960
52916,77358,21,3,1547
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
31687,44411,2,0,766
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
17270,2839,47,4,5008
0,0,0,0,0
54785,77358,31,3,1845
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
31525,44411,2,0,656
0,0,0,0,0
18040,2901,48,6,5023
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
55034,77358,28,3,1885
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
14714,2429,37,6,4268
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
55746,77358,83,5,3574
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
17189,2839,48,6,5046
0,0,0,0,0
0,0,0,0,0
55905,77106,79,4,3304
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
17361,2839,47,6,5150
0,0,0,0,0
0,0,0,0,0
53360,77106,20,2,1919
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
14414,2019,27,4,3566
0,0,0,0,0
0,0,0,0,0
55456,77106,68,3,3891
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8941,1609,17,2,1971
0,0,0,0,0
0,0,0,0,0
55102,77106,65,5,3990
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
10016,2491,4,0,482
0,0,0,0,0
0,0,0,0,0
53377,77106,11,0,1135
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
10322,2839,3,0,632
0,0,0,0,0
0,0,0,0,0
52005,77106,5,0,488
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
