cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
0,1501071,127307,61966,2624,1252,0
0,0,1948,174,19,1,0
0,0,946,0,5,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,4897,460,60,5,0
0,0,0,0,0,0,0
0,0,213,0,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,5343,399,68,4,0
0,0,821,0,5,0,0
0,0,1792,388,17,2,0
0,0,0,0,0,0,0
0,0,916,0,5,0,0
0,0,5,0,1,0,0
20677,26401,3283,347,61,6,1127
0,0,0,0,0,0,0
30533,44642,0,0,1,0,416
0,0,0,0,0,0,0
56987,77589,5248,1,78,6,4567
0,0,0,0,0,0,0
0,0,0,0,0,0,0
33165,44642,1719,296,0,2,1814
0,0,4,1,1,0,0
53739,77589,3703,254,0,3,3293
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
32843,44642,3687,565,18,4,1970
0,0,0,0,0,0,0
0,0,0,0,0,0,0
55476,77589,4879,676,0,5,4687
0,0,0,0,0,0,0
0,0,95,0,2,0,0
0,0,0,0,0,0,0
52215,77589,2481,0,0,0,1499
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8355,1609,0,210,17,2,1987
0,0,0,0,0,0,0
55405,77337,4274,524,0,5,4345
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8492,1609,1896,0,17,2,2217
0,0,0,0,0,0,0
55503,77337,5019,535,0,5,4649
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8707,1609,1536,0,17,2,1930
0,0,0,0,0,0,0
59608,77337,3056,1,0,0,1841
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8182,1609,1584,215,0,2,1811
0,0,0,0,0,0,0
57258,77337,5641,729,0,4,5518
0,0,0,0,0,0,0
0,0,0,0,0,0,0
9083,1675,1625,235,17,0,1847
0,0,0,0,0,0,0
52597,77337,2107,0,0,0,1446
0,0,0,0,0,0,0
0,0,0,0,0,0,0
6563,1609,1413,267,14,2,0
0,0,0,0,0,0,0
55281,77337,4622,638,0,5,4543
0,0,0,0,0,0,0
0,0,0,0,0,0,0
5192,1609,324,0,2,0,0
0,0,0,0,0,0,0
52752,77337,2640,108,0,1,1903
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1609,1580,159,17,1,0
0,0,0,0,0,0,0
55417,77337,5007,637,0,5,4761
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1606,238,17,2,0
0,0,0,0,0,0,0
52576,77337,2235,107,0,1,1676
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1541,302,15,2,0
0,0,0,0,0,0,0
55285,77337,4981,571,0,4,4691
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1563,285,17,2,0
0,0,0,0,0,0,0
54932,77337,4816,448,0,4,4451
0,0,0,0,0,0,0
0,0,0,0,0,0,0
19039,1609,0,950,21,3,3584
56017,77337,4979,568,0,4,4772
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
10824,1609,1609,0,17,1,1906
59525,77337,5273,945,0,14,4753
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
6455,1609,1354,1,0,0,1222
56868,77337,5245,701,0,5,5081
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
5545,1609,399,1,0,0,591
56671,77337,5439,457,0,4,4985
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4896,1609,328,0,0,0,469
56451,77337,5314,505,0,4,5118
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
6940,1675,868,214,8,0,1157
53226,77337,2896,128,0,1,1973
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
6215,1609,741,209,7,1,0
56431,77337,5194,667,0,5,5213
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4916,1609,4,0,1,0,0
53325,77337,2436,0,0,0,1807
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1609,47,209,2,1,0
56503,77337,5096,491,0,3,4875
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,918,0,8,0,0
53505,77337,2287,131,0,1,1748
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8058,1609,0,162,17,1,1909
57809,77337,5559,840,0,6,5364
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8518,1675,0,153,17,1,1738
57058,77022,2587,203,0,2,2120
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8493,1609,1598,0,17,1,1968
59125,77022,5355,629,0,4,5109
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8039,1609,1564,191,0,1,1775
53887,77022,2555,154,0,1,1782
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8182,1609,1601,197,17,0,1843
58114,77022,5546,474,0,3,4974
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4995,1609,468,0,4,0,533
53745,77022,2793,155,0,1,2111
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
7850,1609,1647,197,17,0,2097
55959,77022,5146,577,0,5,5068
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8108,1675,1497,152,17,1,0
53768,77022,2709,202,0,2,2314
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8032,1609,1585,173,17,1,0
56123,77022,5228,457,67,0,5061
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4669,1609,445,1,4,0,0
53008,77022,2442,168,26,0,1933
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
7826,1609,1631,153,17,1,0
55618,77022,5306,471,69,0,5102
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8312,1609,1605,177,17,1,0
54569,77022,2693,191,31,0,2245
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1609,1626,162,17,1,0
55984,77022,5337,484,69,0,5055
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1675,636,1,3,0,0
52685,77022,2352,0,29,0,1728
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
56041,77022,6990,655,86,1,4999
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
61195,78631,2135,157,40,1,3465
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
63878,78631,6675,650,89,1,6788
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
58009,78631,2541,0,26,0,2197
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
64017,78631,6942,631,69,1,6889
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
61602,78697,3608,375,42,0,3462
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
63751,78631,6827,656,86,1,4850
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
