cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
2525408,2562067,2779,1080,132531
207885,310877,0,0,395
118808,177644,0,0,241
89057,133233,0,0,188
59309,88822,0,0,125
59336,88822,0,0,133
29644,44411,0,0,62
29677,44411,0,0,61
29650,44411,0,0,61
29679,44411,0,0,59
115828,243761,52,3,5185
29805,44411,0,0,39
29696,44411,0,0,46
0,0,0,0,0
31390,44411,1,1,631
0,0,0,0,0
29950,44411,1,0,192
0,0,0,0,0
29847,44411,0,0,60
0,0,0,0,0
65892,79377,37,4,4801
0,0,0,0,0
0,0,0,0,0
29829,44411,0,0,66
0,0,0,0,0
29751,44411,0,0,62
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
35214,44411,12,2,1372
9887,1609,17,2,1841
0,0,0,0,0
59210,77358,64,4,4916
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
32118,44411,4,0,823
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
9528,1609,17,2,1788
55119,77358,34,3,2613
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
30625,44411,0,0,192
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12062,2019,27,3,3276
0,0,0,0,0
52684,77358,10,0,1216
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
31712,44411,3,0,662
0,0,0,0,0
8059,1671,17,2,1998
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
53359,77358,23,1,2314
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7877,1609,17,2,1857
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
56907,77358,69,4,4174
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
24953,4069,77,14,8635
0,0,0,0,0
0,0,0,0,0
61667,77106,60,4,4824
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8046,1609,17,2,1547
0,0,0,0,0
0,0,0,0,0
55099,77106,54,5,3859
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7654,1609,17,2,1708
0,0,0,0,0
0,0,0,0,0
55353,77106,59,3,4156
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
13620,2429,38,6,4290
0,0,0,0,0
0,0,0,0,0
53578,77106,28,2,2462
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8430,1671,17,2,1905
0,0,0,0,0
0,0,0,0,0
56573,77106,64,8,4293
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7665,1609,17,2,1720
0,0,0,0,0
0,0,0,0,0
53647,77106,28,2,2433
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
19968,3249,57,10,6863
0,0,0,0,0
0,0,0,0,0
55124,77106,57,5,4136
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12272,2019,27,3,3197
0,0,0,0,0
0,0,0,0,0
53623,77106,37,1,2595
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8588,1609,17,2,1705
0,0,0,0,0
0,0,0,0,0
55241,77106,66,3,4751
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8848,1609,17,2,1968
0,0,0,0,0
18193160,8585173,20161,32102,1482656
34214994,34202198,4467,5411,1113195
38505014,39797489,4711,1469,1397826
40184246,40634286,6909,4242,1653185
40707422,40862605,7966,5003,1790569
37428285,36522417,8617,3861,1861433
46188327,43545573,10817,6188,2219332
41440351,39371300,10687,5249,2237910
41472291,40641693,10250,5702,2009433
39561612,36758628,10634,5465,2082364
47502580,45138217,11752,7069,2319467
56696863,52804698,12537,8552,2262587
70057498,64385455,14372,9661,2313714
70095095,64727220,14296,10054,2328618
70091618,64571474,14510,10132,2338085
71186568,65829602,14965,10265,2369122
70654347,65134816,14600,10242,2367639
69312419,63722911,15191,10350,2439057
67511198,60428534,15290,9980,2409018
71173983,65356761,15173,10243,2400110
71995756,66296867,14982,10444,2396418
69857442,64134414,15455,12059,2436256
71993247,66289732,15506,10768,2455878
71054448,65321585,14895,10370,2427496
70134535,64284103,16098,11550,2438858
72331697,66560790,15178,10361,2406884
71527284,65966635,15484,10146,2402390
72189382,66678327,15356,10229,2440352
68021391,61337539,14854,10446,2433866
70348455,65046480,14898,9918,2372941
71257892,65387800,14625,9900,2394557
70953052,65723607,15016,10202,2426816
70007701,64364303,14566,10217,2385533
70907493,64595897,15515,11922,2429036
71030706,65718136,14658,10036,2375748
67261604,61822557,13541,9763,2257753
72020671,65366823,14383,10236,2421389
72516429,66072281,14575,10442,2415054
68079675,60672072,14613,9966,2421929
71138738,64387394,15261,11186,2442234
72405539,65735506,14832,10303,2440401
72421138,65821517,14745,10229,2451832
72237684,65853376,14890,10405,2432152
72279749,65910759,15516,10116,2456543
71064092,64709191,14189,9851,2376572
72089609,65981307,14620,10347,2416719
72153074,64422956,28071,21073,3182952
73908145,66284612,27474,21977,3226516
66691708,58602182,21885,16079,2891207
71345457,65053761,14845,10816,2475764
71518496,65601979,14733,10373,2444562
72456577,66291051,15050,10509,2454622
72552432,66389770,14753,10085,2404723
71659557,65429123,14491,9983,2421334
70320806,64128021,14584,10239,2371285
71596987,65338233,14420,10537,2395535
72366906,65886721,14595,10214,2435003
73608129,66859680,14816,10097,2426990
66792154,59527199,14414,9618,2398834
71997961,65649599,14511,10207,2409028
71703868,65559971,14859,10143,2434628
71634707,65167034,14484,10277,2439229
71701699,65183001,14491,9931,2400288
70722902,64687840,14289,10348,2398235
71108079,64618261,14669,9930,2419114
72136341,65716849,14612,10291,2378590
71561276,65225774,14354,9932,2397861
72463353,66249374,14129,10066,2395626
66401770,59190214,14367,9588,2377285
69991140,64331365,15142,10609,2419941
71937178,65208743,14631,10087,2410918
72183912,65637176,14579,10093,2430025
72106312,65460340,14997,10297,2439289
71412846,64883529,14571,10150,2435542
70904738,64225913,14319,10083,2372173
72452575,65710390,14850,10127,2397334
72079835,65515721,15035,10357,2422622
71722659,65098939,14890,10382,2433646
67755919,60506068,14532,9933,2433240
72050231,65397216,14495,10064,2383843
72427502,65706147,14858,10150,2416540
71141843,64643368,14957,10489,2436703
71402937,64990414,14872,10416,2459957
71984526,65205549,15354,10514,2502682
70995620,64444773,15324,10628,2475249
72570003,65497150,15089,10346,2459685
72685501,65832676,15294,10196,2465217
72128155,64955704,15010,10673,2456850
67381898,60449259,14582,9591,2429292
71128861,64939261,14706,10303,2444276
72256211,65638809,14666,10202,2436407
72241677,65721010,15098,10193,2471854
71491119,64939663,14612,10111,2452545
71891585,65389039,14859,10257,2456711
71733229,65611397,14926,10345,2461197
71071517,64725520,14885,10353,2457451
71197988,64861636,15120,10124,2449270
72554031,65558809,15594,11226,2527659
69023572,61717969,15178,10604,2473969
70095240,64565859,15332,10955,2448888
56455014,59969246,22494,18162,3003155
56086233,60456387,22504,18305,3020368
55888007,60423254,22414,18477,3004409
56062448,60775159,22240,18482,2993082
55391463,61031480,12579,10571,2381671
55555560,61202901,10955,8662,2244717
54415258,60358024,11111,8592,2224900
54914705,60283294,11256,8668,2256760
52968547,57418090,10997,8208,2227175
55508424,61290132,11234,8567,2271325
55154324,60947011,11097,8318,2238369
55954193,61994758,11097,8557,2281634
54057808,59519161,11009,8275,2228663
54716922,60559624,10782,8477,2233247
55890051,62000053,11055,8559,2277807
55400555,61266439,11461,9090,2308792
55722270,61860086,11401,9305,2320860
54715758,60052824,11492,9469,2324860
53170125,57908107,11432,9197,2305390
55887553,61923739,11490,9200,2315369
55649431,61611220,11628,9127,2297388
55798132,61590490,11790,9198,2335570
55347950,61160654,11555,9136,2308805
53923968,59650188,11413,9062,2258226
55570140,61136741,12072,9399,2360640
55051790,60547837,11699,9462,2341788
56161811,62092050,11778,9526,2345507
54032529,58893121,11543,9252,2342594
54006495,58973778,11970,9339,2362779
62304720,58085172,24379,18144,2884249
64446381,59758672,26222,20056,3018669
65868041,60723066,27716,20241,3060182
60700047,55804580,26583,19266,2985644
65187261,60334934,27021,20027,3094984
61740020,56266895,25925,18993,2973408
66723198,60669156,26683,20470,3028277
65673445,60156353,26764,19874,3005937
64585297,58632197,26573,20237,3013637
64261061,58311081,27611,19778,3044431
66425765,60927773,27202,20494,3065872
66615289,60773072,27105,20513,3067065
66972925,61038455,27266,20270,3088429
66155736,60170020,27691,20272,3060065
64672031,58807461,26555,19795,3003842
66191285,60329200,27163,20248,3052998
67154924,61409535,27633,20507,3084908
66783658,61097151,27077,20490,3057356
63536313,57532321,26203,20112,2982885
63132108,58304558,17774,13093,2476871
65932140,61396687,15215,11103,2363382
62657838,58457890,13979,10176,2225210
59604190,56086960,13392,9406,2122523
63254368,59414476,14263,10218,2244178
62541435,58209376,14084,10359,2247025
63214898,58922845,13612,9908,2190840
63515869,59465657,13757,10081,2216431
62530170,58563852,13646,10174,2223750
60793735,55804049,13752,9897,2252965
57191710,53274120,12807,9292,2090370
64234340,59877275,13948,10092,2224937
64091605,59565869,14084,10334,2251432
63831820,59269719,13992,10370,2233578
63643188,59169170,14329,10751,2294436
63971304,59529518,13955,10534,2234860
63055892,59267528,13893,10416,2211395
64203013,59968338,13965,10545,2226643
63481827,59422328,13840,10148,2212337
60057636,55157463,13619,10352,2223004
61469089,57298176,13558,10001,2227825
63309412,59384065,14496,10509,2292532
62659622,57646304,24471,18273,2822369
64437427,59001077,25371,19418,2967957
64942312,59700758,25508,19424,2958507
64884088,59271747,25323,19299,2984558
64748790,59282795,24935,19197,2961244
60278369,55352833,24771,18313,2810799
63388255,58048736,25628,19419,2960330
60951492,54763526,25512,19321,2969239
62894552,57322163,26004,19593,3014256
63963619,58408368,26230,19541,2985848
65391883,59601025,26408,19838,3023607
64554771,59065578,26068,19638,3029249
63793485,59437873,21643,15728,2807546
62324462,59015229,14561,10195,2326022
63355022,59726746,14881,10683,2332700
63020693,58992300,14851,10451,2363573
62583108,58840211,14894,10744,2375844
59256181,55081412,14148,10271,2315266
62130438,58450820,14674,10504,2409287
61888622,58431238,14192,10300,2350890
62687053,58610026,14450,10137,2359711
62876623,59187383,14544,10131,2377227
62881161,59278356,14819,10325,2376718
62004658,58685049,13877,10534,2325695
62820625,59322579,14413,10448,2350454
59118774,55364841,12919,9502,2108516
64614597,60352715,14491,10392,2268538
60154660,54755182,13488,9751,2248890
63435452,59093479,14363,9993,2273141
64459512,59832208,14869,10661,2301674
64230206,59732237,14437,10324,2265028
63403524,59380224,14363,10345,2291222
63015346,59458281,14672,10306,2292098
62352038,58550870,14181,10234,2236655
63760366,60095836,14667,10537,2271405
62481914,58978055,14326,10217,2233508
62631256,59367871,14301,10379,2249293
59258945,54641570,13863,9968,2239491
64062241,60326751,14379,10343,2246861
63277866,59709164,14642,10399,2283093
59944848,56261086,13263,9736,2084979
63845468,59847271,14293,10155,2263255
63835498,59786104,14351,10432,2263660
57891849,58153026,20666,15643,2796866
57988571,62341344,22635,18433,3065796
56460881,61006516,23069,18557,3077842
56414273,60861381,22601,18504,3054293
52876097,55916701,22382,17626,2991722
56309564,61042712,22685,18332,3052081
57030574,62001260,22528,18200,3039145
55956698,60511333,22428,18172,3020934
56157830,60904682,22733,18306,3058170
56375950,61118530,22435,18305,3031166
55462606,60386136,22069,18238,2988797
55904670,61732278,11831,9974,2330485
54991927,60402069,11724,9284,2324167
55718558,61323798,11424,9240,2314429
52276475,56173743,11776,8827,2292247
55479847,61149270,11517,9351,2287357
55813113,61660225,11579,9283,2314122
55750713,61485271,11573,9380,2306436
55797559,61782779,11862,9273,2319451
55739338,61514932,11832,9352,2335980
54858016,60660347,11586,9150,2298541
55177270,60920456,11524,9113,2297937
55655366,61407261,12130,9309,2354785
55185178,61044473,11769,9353,2332129
52561160,56756579,12323,9477,2344001
55557954,61456565,11424,9319,2291622
55085414,60846859,11146,8747,2271773
55825337,61665438,11435,9131,2280044
55592058,61425691,11416,9051,2281367
55711788,61626683,11475,9163,2302943
54812061,60297932,11464,8914,2263854
54602132,60136394,11478,9041,2289256
55135793,60844077,11382,9137,2289012
55898727,62006094,11139,9033,2269430
50697063,54192613,11149,8317,2229619
55754785,61594098,11492,9229,2292775
54999778,60739347,11283,9120,2272255
55853855,61801784,11649,9139,2300597
55709207,61608791,11674,9140,2286983
55454019,61152036,11724,9062,2308210
54859458,60500378,11360,8992,2244993
55492946,61142958,11595,9368,2306181
55771977,61296462,11436,9434,2314220
57016002,63373175,11851,9665,2362381
51357484,55008597,11495,8855,2282547
54697927,60618685,11704,9051,2309202
55870593,62011374,11451,9134,2324384
55726015,61577756,11339,9440,2312118
55708846,61301068,11202,9106,2275458
55032525,60583869,11025,9172,2261718
55105901,60519978,11295,8969,2262297
56188197,62126715,11179,9058,2277943
56199560,62139890,11303,9315,2288500
56556032,62886916,11721,9509,2334273
51879806,55790014,11424,8789,2269527
55893574,61489665,11832,9231,2314296
55662853,61301156,11406,9027,2282122
55732761,61436019,11287,9090,2276135
55540484,61183909,11338,9331,2274051
55177677,60983104,11454,9238,2271497
55253898,60707513,11406,8963,2276825
54951599,60469138,11290,8995,2268512
55664833,61304949,11351,9288,2289806
55581815,61188498,11363,8850,2274573
51481175,54988178,11596,8804,2262132
54877512,60453374,11146,8823,2253906
55040339,60724942,11267,8707,2237383
54752254,60165914,11095,8816,2270030
55213593,61494464,11322,8816,2245648
54685389,60420026,11734,8873,2302765
55347725,61493525,11202,8269,2214706
55291607,61249861,11062,8393,2223772
54808876,60337257,10544,8299,2211782
54946464,60710650,11339,8629,2258837
51960414,55956918,11190,8137,2245564
55858922,61626731,11185,8397,2257828
55292136,60998154,11153,8190,2242479
55133090,61117516,11317,8216,2247373
55291814,61129443,11307,8313,2253679
55279045,61211119,11047,8388,2236193
55457211,61362429,11462,8409,2255656
56106574,62210298,11262,8621,2267714
55451596,61111270,10826,8374,2225551
54909671,60225180,11226,8318,2252703
52433711,56396429,11243,8133,2250495
55304788,60997232,10968,8440,2243660
54793838,60244922,10766,8305,2226136
55939641,61521996,11023,8281,2254637
55824134,61370292,11247,8346,2270573
55383107,60885613,11024,8418,2258096
54895555,60353222,10641,7848,2207161
54948993,60587822,10691,8301,2197240
55521661,61272756,11134,7952,2210309
54957926,60574311,11138,8365,2228960
52088453,56605715,11209,8307,2211792
