cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
64398604,4018468,4400326,8564047,99333,265746,2683664
74351958,55036,5030113,10960972,112816,339033,3155203
76837375,56400,5228476,10735435,113052,339998,3540866
76267322,56219,5482500,10873024,111536,330690,3753467
76638968,56351,5508018,10953318,111110,332115,3772239
75555010,56195,5514161,10921142,112491,338153,3589017
73405413,55133,5532759,10897575,112919,338433,3602531
76282403,56265,5396354,10794294,112865,338737,3761248
76429006,56297,5493308,10819869,110242,339449,3759333
76442563,56088,5491229,10887809,112309,329853,3713720
74536036,56408,5490952,10924483,112779,339345,3575447
74226362,54944,5453004,10917117,112594,338971,3623681
76676375,56470,5431996,10699596,113024,340081,3761917
76493685,56240,5520014,10931102,110102,335448,3768709
76473886,56269,5466759,10913867,112412,334683,3621963
73570807,55582,5496258,10957972,113085,340438,3566116
75956637,55965,5369678,10895989,112706,340028,3715568
76504527,56204,5515614,10602771,112532,338518,3899889
76486796,56228,5550658,10603883,110022,337208,3837628
76414902,56136,5562874,10628559,112394,331284,3793507
73766864,55878,5561515,10650278,112409,338418,3698649
74495934,55165,5429249,10738364,112607,338397,3676710
76406418,56333,5458675,10461022,112199,339143,3758903
76586272,56597,5508626,10744677,111316,333038,3779485
75387742,56215,5471177,10724358,112583,338491,3602245
73501996,54934,5058528,10688812,112461,337941,3106709
76724694,56320,4932973,10567762,112815,339774,3265130
76376633,56052,5025876,10529821,109597,336395,3272762
76438027,56016,5010143,10640959,112267,330151,3179256
74495416,56017,5040569,10675930,112191,337921,3103738
75557895,55535,5037081,10716191,112712,339216,3077779
75455083,55303,4879141,10783853,111692,335880,3188265
243586643,198125958,9589299,3282216,203893,105941,5379777
340224713,301766050,13092982,994,294726,216,6456197
331488271,302667801,12765271,970,268250,215,6105108
330265846,297490580,12651912,990,275279,220,6244745
340870947,303741407,11374643,968,272133,221,5590795
340076721,304773880,12017126,978,268771,217,5446623
340458292,306249236,11798609,962,286823,215,5266939
326447658,304087811,11542016,986,274879,218,5305745
336863316,303398273,12142440,956,285194,218,5472989
340114322,305966919,12047275,936,271826,222,5490797
339959691,305106411,11744912,952,292224,214,5411613
334393945,306805362,12178734,986,281510,218,5242704
328193694,298174828,12144766,1005,279486,219,5271240
341964901,307940257,11917902,970,280268,217,5487099
339545765,304688373,12148084,1020,283276,221,5425866
340385834,303224620,12226249,932,289511,213,5302514
327277664,304577689,11622039,934,280337,220,5231480
5141671,1230298,129882,2898,4901,20,6189
