cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
0,0,0,0,0
6324243,7427503,10381,1009,392325
6015861,1518249,7083,16855,369042
3615128,2201,4407,13297,252863
5139748,3161,6327,19007,272795
854930,511,1022,3044,54625
2933475,1794,3595,10814,162593
5756972,3537,7079,21293,301407
5798095,3559,7121,21443,305321
5798893,3564,7134,21458,304004
5794038,3561,7129,21464,303396
5801762,3538,7079,19648,353360
5817579,3574,7155,21475,306639
5787903,3555,7109,21398,302388
5793464,3561,7128,21456,303082
5770238,3546,7101,21361,304358
5797904,3556,7116,20888,319330
5811184,3572,7156,21521,307003
5795329,3560,7126,21455,304214
5795936,3558,7123,21438,309702
5810823,3571,7147,21513,304546
5783579,3557,7127,21424,302720
5792893,3559,7123,21421,304419
5759311,3530,7060,21267,317257
5787485,3555,7113,21426,306015
5797376,3561,7123,21478,303320
5769058,3543,7098,21338,305545
5805210,3558,7120,21435,323557
5790421,3557,7113,21433,303267
5749846,3534,7074,21305,300870
5766667,3539,7079,21323,302227
5786778,3556,7120,21438,303147
5783252,3552,7114,21384,306369
5777419,3550,7110,21397,304405
5787814,3555,7119,21408,305746
5789978,3556,7118,21411,303886
5769637,3545,7094,21348,302334
5726805,3520,7042,21214,300076
5777261,3550,7105,21386,305203
5756489,3537,7080,21326,303867
5763481,3545,7090,21363,301598
5796459,3562,7133,21462,303070
5741922,3529,7059,21255,300554
5783085,3555,7118,21421,302926
5757991,3537,7076,21331,302156
5795663,3555,7122,21411,304422
5794940,3556,7117,21418,302790
5787807,3557,7123,21424,303238
5792963,3560,7130,21432,304274
5780424,3551,7104,21391,305408
5788585,3556,7120,21421,306068
5810534,3571,7145,21513,304914
5786838,3556,7117,21438,304416
5792272,3560,7130,21447,303426
5793843,3556,7119,21410,309860
5734100,3521,7047,21226,300206
5735428,3523,7056,21230,300677
5780322,3551,7102,21387,302397
5760841,3541,7090,21313,301402
5775210,3545,7097,21350,308160
5770963,3546,7092,21367,301682
5805831,3569,7143,21490,303650
5763075,3540,7086,21317,302417
5781602,3546,7094,21361,306032
5763539,3541,7090,21326,301513
5763716,3524,7054,21246,338865
5803343,3560,7122,21444,314949
5807076,3565,7136,21499,303403
5785193,3556,7119,21419,304300
5778470,3549,7104,21380,302253
5644064,3462,6924,20869,300524
5769784,3541,7085,21339,302517
5765393,3545,7094,21347,303112
5736648,3528,7058,21242,300071
5765511,3541,7085,21360,302720
5754107,3537,7078,21334,301625
5814352,3565,7134,21482,303584
5788102,3554,7110,21419,304342
5732034,3515,7033,21171,319406
5820460,3549,7107,21387,391173
5768574,3534,7071,21302,330345
5797674,3560,7125,21443,306417
5796096,3558,7121,21441,310796
5766048,3544,7092,21330,301630
5799960,3566,7141,21465,303451
5798774,3564,7134,21471,303714
5771983,3549,7103,21398,302666
5809927,3572,7151,21504,304249
5748276,3533,7077,21262,301577
5740124,3528,7070,21277,301465
5233147,3216,6429,19339,273642
5762585,3542,7090,21321,302059
5759877,3540,7083,21331,301818
5778706,3552,7117,21399,302520
5801114,3565,7138,21457,304395
5835524,3589,7190,21603,305676
5802378,3567,7144,21476,304190
5809702,3544,7090,19869,348956
5795865,3565,7138,21450,304339
5917442,3551,7104,17812,451794
5820198,3556,7119,20223,341442
5824747,3542,7090,19239,370481
5812392,3574,7149,21553,304936
5800164,3567,7136,21463,303622
5767268,3544,7090,21345,302836
5764460,3544,7091,21344,302204
5789788,3558,7122,21437,303873
5781589,3553,7113,21388,302584
5555984,3415,6833,20593,291056
5823957,3578,7161,21526,311486
5808318,3566,7143,21468,310457
5767029,3541,7082,21332,303910
5791591,3561,7128,21452,303496
5763221,3543,7088,21336,302329
5771049,3547,7098,21359,301636
5768285,3548,7100,21359,303507
5810436,3564,7131,21474,303389
5807373,3554,7113,20814,322254
5764477,3540,7089,21302,306161
5773066,3544,7097,21318,311043
5778906,3553,7110,21392,302436
5779969,3552,7108,21400,304379
5821861,3531,7065,18696,392360
5800046,3550,7107,20468,331061
5756834,3534,7069,21293,302613
5781595,3549,7102,21388,303144
5821099,3563,7130,20582,331705
5846587,3528,7057,17743,414833
5775741,3544,7089,21365,301737
5786173,3548,7102,21360,301856
5796529,3561,7126,21458,303276
5790419,3532,7071,19970,351839
5855380,3538,7079,17771,415060
5744129,3532,7070,21258,302145
5776518,3549,7098,21353,302728
5789722,3553,7120,21386,302631
5824695,3541,7083,19107,371841
5757382,3538,7079,21308,302976
5815043,3574,7157,21525,308245
5778785,3551,7106,21388,303443
5778407,3550,7100,21367,302962
5800628,3562,7128,21457,303177
5743053,3527,7056,21271,301732
5755129,3522,7045,21205,305930
5744292,3526,7063,21111,305123
5797606,3539,7081,20004,344856
5808268,3567,7137,21504,304015
5797070,3560,7117,21455,303286
5771900,3548,7103,21388,303623
5815704,3575,7151,21538,306262
5820834,3562,7124,21350,317937
5779976,3551,7109,21398,304510
5793897,3561,7131,21452,303474
5758082,3539,7082,21327,301823
5752600,3537,7077,21307,302194
5749420,3535,7073,21299,301375
5705131,3507,7019,21108,299797
5751607,3536,7076,21305,301466
5753497,3538,7082,21317,301615
5796460,3564,7131,21470,303658
5785645,3558,7119,21430,302767
5771717,3548,7103,21370,302325
5806937,3571,7148,21519,304204
5581495,3429,6861,20658,294058
5772558,3548,7101,21383,302745
5770384,3540,7087,20988,312183
5777140,3548,7098,21288,305543
5744192,3529,7063,21274,300813
5786703,3558,7124,21414,302797
5780796,3548,7104,21380,303549
5738358,3514,7029,21168,320345
5853335,3570,7146,21494,393724
5838486,3580,7168,21555,331738
5778093,3549,7104,21366,302366
5740820,3528,7062,21245,301604
5748652,3533,7075,21275,302179
5824550,3583,7176,21563,304645
5759051,3539,7088,21308,301628
5830715,3549,7104,19472,362029
5791066,3558,7117,21442,302825
5768190,3544,7091,21341,304030
5771916,3547,7100,21355,302110
5782145,3552,7110,21402,302487
5204883,3197,6401,19261,272185
5767158,3540,7084,21317,302656
5804046,3562,7123,21439,303097
5803868,3564,7133,21484,304694
5770892,3547,7100,21361,303139
5786277,3551,7109,21364,313107
5782844,3551,7103,21379,307977
5792945,3557,7117,21434,304065
5811912,3571,7154,21499,304261
5772949,3547,7103,21357,301846
5797000,3558,7125,21431,309645
5785969,3558,7118,21432,303213
5803196,3569,7141,21502,304654
5754520,3535,7075,21290,300936
5781143,3555,7108,21401,302606
5790640,3547,7098,21349,303510
5808554,3561,7126,21441,311380
5817411,3572,7148,21463,312302
5791003,3559,7126,21417,305064
5769977,3544,7093,21349,301953
5775706,3543,7091,21331,301548
5778343,3542,7088,21348,302811
5810980,3571,7145,21513,304342
5809043,3568,7135,21489,304552
5788038,3551,7109,21393,304817
5771399,3531,7073,20188,333735
5767994,3544,7095,21353,302042
5786518,3530,7064,19564,353608
5794108,3561,7126,21454,303253
5808838,3567,7136,21492,310878
5783617,3553,7111,21409,303596
5769836,3552,7110,21381,302363
5806939,3561,7121,21443,302783
5782188,3548,7102,21370,302151
5768350,3546,7095,21360,301663
5768201,3542,7087,21333,302868
5782075,3544,7091,21346,301946
5779241,3553,7112,21392,302296
5778354,3553,7110,21411,302461
5765435,3542,7090,21338,302046
5774806,3551,7108,21389,302606
5767095,3547,7092,21366,302146
5757981,3538,7079,21316,302656
5794002,3548,7102,21194,307808
5801017,3566,7138,21464,303834
5809795,3533,7069,18979,372332
5803320,3545,7092,20040,341952
5789330,3556,7117,21435,305053
5756270,3538,7083,21327,301785
5812110,3572,7148,21505,304009
5791013,3556,7120,21420,302906
5767188,3547,7097,21347,302202
5818755,3576,7156,21553,304658
5809056,3568,7142,21472,304637
5824098,3544,7090,19853,350119
5792021,3548,7100,21361,306513
5801475,3552,7110,21379,310493
5791767,3549,7106,21378,301997
5787006,3546,7100,21337,303078
5851413,3545,7094,18998,376958
5829773,3545,7093,19766,353485
5798083,3553,7107,21430,302655
5815325,3564,7139,21455,303803
5815421,3543,7091,20162,339815
5847930,3515,7033,17875,423071
5793774,3551,7105,21370,302536
5783134,3544,7102,21343,303877
5814248,3562,7128,21456,303167
5816488,3555,7117,20839,322098
5776846,3537,7080,21302,301654
5782447,3542,7088,21348,302731
5790790,3548,7099,21367,303051
5812526,3557,7122,21140,312979
5784131,3541,7090,21172,306572
5638824,3451,6903,20768,293778
5832402,3567,7135,21478,305793
5788065,3546,7091,21361,302150
5783974,3546,7095,21350,302036
5809627,3560,7121,21454,304338
5836490,3574,7158,21521,304703
5828195,3571,7145,21500,303679
5789843,3549,7105,21379,303936
5804360,3523,7049,21221,379083
5857622,3552,7113,21382,418893
5838508,3549,7098,21367,387602
5783995,3547,7109,21351,301942
5775694,3536,7074,21090,307688
5780302,3542,7092,21355,303423
5781570,3545,7092,21354,302051
5820691,3568,7139,21504,304116
5765433,3536,7087,21309,301380
5819882,3541,7088,19992,344197
5248085,3218,6443,19389,273873
5835971,3568,7143,21095,318446
5859921,3571,7145,20442,343179
5786501,3546,7099,21365,303560
5799842,3557,7113,21430,303112
5743924,3518,7037,21199,299922
5799055,3549,7102,21386,302566
5850131,3557,7118,20094,346229
5799586,3542,7085,20575,326403
5814591,3564,7131,21453,303215
5780961,3542,7087,21345,303046
5810629,3563,7135,21460,304194
5820813,3569,7137,21489,303904
5831356,3562,7135,20881,323301
5779034,3547,7097,21355,301948
5812419,3560,7121,21441,303515
5792148,3529,7060,20136,337764
5763142,3533,7075,21268,301070
5825978,3548,7097,20050,344670
5796300,3553,7112,21397,303992
5613330,3438,6883,20709,295478
5857661,3591,7183,21625,305788
5881604,3581,7166,20261,347243
5823214,3571,7147,21513,304369
5806045,3559,7124,21429,303274
5810683,3556,7117,21416,309320
5803852,3559,7121,21432,303424
5810720,3554,7114,21198,309256
5811719,3554,7108,21395,313739
5802713,3554,7111,21424,305704
5826449,3551,7113,20549,340268
5772772,3539,7081,21293,303116
5827699,3564,7128,21486,303342
5793508,3554,7114,21394,302700
5798272,3552,7108,21374,304293
5781538,3545,7104,21364,301690
5792899,3557,7113,21429,302869
5772015,3544,7092,21364,303764
5758574,3540,7082,21340,301758
5755918,3535,7076,21312,301661
5789785,3559,7122,21444,303229
5791610,3550,7103,21399,302151
5809692,3561,7125,21454,305034
5810932,3569,7148,21483,304263
5752008,3536,7073,21286,301276
5773190,3547,7099,21383,302715
5748841,3534,7073,21294,300995
5751141,3535,7072,21300,303229
5791927,3560,7125,21439,302999
5804253,3568,7140,21496,305060
5776838,3550,7109,21366,302413
5768868,3545,7099,21376,303447
5813150,3573,7146,21496,304247
5755511,3535,7073,21309,301315
5767903,3544,7098,21346,302542
5799209,3565,7138,21467,303720
5774452,3549,7101,21377,302078
5796743,3556,7112,21423,312978
5781089,3553,7114,21398,303532
5752866,3527,7058,20745,316357
5756924,3526,7058,20492,323699
5843011,3559,7128,19380,368854
5773497,3545,7094,21352,302723
5770104,3547,7097,21361,303320
5803046,3565,7135,21469,303704
5775228,3552,7104,21397,302394
5786077,3555,7116,21436,303305
5793220,3560,7127,21444,303268
5767831,3545,7092,21360,302057
5781737,3551,7103,21395,303803
5729018,3521,7049,21221,299873
5782486,3554,7110,21395,302417
5796569,3564,7131,21481,304593
5785706,3556,7118,21441,303506
5808503,3570,7145,21543,304050
5634823,3456,6916,20778,297191
5798998,3555,7113,21413,303579
5776780,3542,7085,21334,301473
5763750,3540,7088,21325,302593
5799110,3566,7133,21477,303500
5783261,3554,7113,21411,303230
5753579,3535,7074,21270,302040
5752089,3520,7045,21205,331003
5839529,3551,7104,21392,392163
5833588,3547,7096,21363,391678
5780976,3544,7088,21338,327523
5758693,3542,7094,21322,301601
5763104,3539,7084,21320,303564
5801503,3565,7133,21471,303452
5757526,3538,7080,21326,302285
5760081,3539,7085,21317,301380
5815902,3574,7153,21541,306092
5805052,3567,7142,21496,304586
5214219,3206,6417,19272,273134
5767431,3543,7096,21332,304468
5814444,3571,7146,21513,304930
5787386,3557,7120,21425,303565
5790150,3562,7128,21457,303208
5812349,3567,7135,21476,308524
5815265,3561,7132,21422,322415
5775763,3552,7109,21399,302372
5751726,3531,7069,21271,306408
5762648,3540,7081,21309,304035
5776688,3551,7104,21405,302634
5800200,3565,7133,21477,303563
5783614,3553,7113,21414,303767
5748270,3532,7069,21272,301501
5794862,3562,7127,21471,303933
5801015,3564,7135,21481,303834
5781788,3555,7122,21383,303133
5781576,3547,7096,21361,302853
5804992,3563,7129,21449,303140
5765303,3534,7068,21296,304093
5774780,3543,7086,21361,301863
5812395,3567,7135,21508,303468
5777788,3544,7091,21331,301857
5793880,3555,7111,21422,303491
5758643,3533,7067,21282,301616
5795079,3554,7108,21418,302821
5785741,3552,7102,21389,302584
5785425,3550,7103,21395,302278
5775422,3539,7081,21308,307753
5784737,3544,7087,21327,311033
5778929,3544,7089,21366,302551
5788243,3550,7098,21386,303170
5727869,3515,7038,21165,299208
5763303,3528,7058,21246,311006
5790592,3553,7104,21392,304710
5795455,3555,7110,21430,302274
5776523,3543,7089,21363,303836
5766693,3537,7073,21325,303904
5785606,3548,7096,21374,302308
5776080,3545,7092,21345,301578
5783268,3549,7098,21377,301981
5810754,3565,7129,21486,303377
5816160,3563,7125,21455,306187
5774146,3531,7062,21257,300624
5771233,3532,7064,21293,300700
5794062,3556,7112,21423,302945
5777926,3546,7100,21337,303697
5800110,3552,7105,21400,307541
5813146,3568,7139,21489,303380
5786141,3549,7104,21381,302512
5778636,3548,7096,21362,302007
5753813,3531,7064,21270,300833
5798148,3556,7109,21428,302476
5773188,3543,7090,21327,301368
5788762,3553,7106,21382,302551
5788969,3551,7110,21390,302043
5781377,3544,7092,21359,305579
5800870,3561,7114,21419,303165
5796860,3558,7127,21429,302473
5777147,3542,7082,21352,302810
5802924,3560,7120,21454,304940
5773571,3543,7091,21366,301951
5775088,3541,7079,21318,301142
5785955,3550,7098,21389,302442
5805714,3562,7124,21460,303146
5801521,3558,7121,21439,304263
5792824,3554,7106,21424,302725
5775504,3544,7090,21350,301976
5763546,3538,7074,21293,300980
5800264,3559,7119,21434,303093
5742557,3526,7052,21241,299824
