cycles,instructions,load_misses,store_misses,ept_walk_cycles
132408156,174560667,122817638,882331,628316
240223288,322432003,234327332,46489,19504
240472511,322808206,234601224,46488,11834
237755174,319178533,231964434,46020,10794
240400956,322701678,234522656,46488,12033
240341342,322704377,234526617,46488,11104
240964964,323479830,235088834,46644,10472
241422573,324126019,235559133,46696,12097
240352040,322673892,234504159,46489,11259
240494739,322883871,234655819,46540,11311
240311106,322658864,234492860,46488,11523
240356909,322732445,234546298,46488,15293
240097143,322338210,234260117,46488,13885
236614400,317579542,230801527,45760,15903
241130249,323705000,235252646,46644,11869
240199210,322472594,234357479,46436,14458
241480508,324166333,235588100,46748,11966
240342723,322692556,234517332,46488,10676
