cycles,instructions,load_misses,store_misses,ept_walk_cycles
33447965,8959323,2531819,2861819,1802849
51402835,31554,127052,4196031,2711225
53688832,32971,132807,4383947,2824904
53336752,32755,131790,4355243,2810604
53916435,33103,133108,4402443,2832937
53828576,33050,132765,4395118,2832334
50086428,30755,123546,4090026,2637225
53260504,32732,131457,4352834,2806571
53479045,32846,131865,4367592,2819831
53455323,32814,131753,4362681,2811061
53094912,32620,131123,4337672,2785342
53857649,33062,132712,4396315,2890875
53967299,33107,132930,4402443,2898423
53451165,32706,131310,4349366,2932748
53793679,33046,132631,4394330,2821892
52476967,32243,129414,4287541,2776967
32012366,19611,79472,2607598,1718594
3439756,1992,9775,264675,289367
3580238,2073,10222,275709,298683
3498602,2036,9994,270793,279525
3810273,2217,10789,294861,308015
4365820,2533,12524,336623,367718
3490535,2025,9962,269079,283137
3103648,1809,8671,240597,245972
3541979,2048,9829,272281,283569
840801,448,2507,60138,71469
1092349,589,3223,77896,91512
3394933,1973,9557,262149,275373
4128874,2412,11529,320530,327022
4047682,2362,11362,314294,318095
4678439,2733,13051,363095,364860
4547204,2658,12957,353381,354476
964916,520,2819,69167,81875
1054273,564,3046,74896,85674
899978,489,2579,64743,73605
3901030,2279,10994,303107,305566
5425253,3172,15412,421876,427349
5102557,2973,14314,395424,410138
5588810,3261,15724,433457,438557
5326381,3123,15074,415231,412448
5701226,3336,16092,443432,441004
5332310,3127,15088,415497,408105
1226604,684,3567,91057,98767
877968,468,2630,61862,71430
914176,488,2708,65074,75284
3710479,2151,10691,286271,288863
3633203,2121,10308,281965,279335
3601906,2101,10104,279433,281828
3873429,2266,11017,301112,296600
4560023,2668,12860,354844,353159
5731056,3353,16371,445683,446691
5754453,3361,16527,446880,453176
5474854,3207,15398,426137,423886
2058099,1182,5853,157414,163287
794671,422,2333,56123,63484
826273,440,2430,58675,68641
3250918,1888,9201,251129,256306
5266294,3087,14687,410576,408757
5608309,3284,15973,436373,435047
5877478,3438,16273,457254,462046
5804368,3398,16162,451535,455672
5308269,3106,15038,412970,418793
3810820,2199,10919,292409,307613
885127,464,2604,61887,71191
910716,489,2645,65049,73243
2076981,1192,5914,158606,164325
5944789,3473,16906,461909,473319
6288188,3673,17653,488243,504385
5945528,3480,16450,462973,463828
5633387,3300,15696,438776,443034
5633969,3296,15824,437980,437289
3766705,2193,10531,291453,293687
883299,480,2536,63960,71946
2380311,1376,6752,183083,188820
6065827,3545,16929,471485,485099
5934993,3471,16580,461776,473842
5883799,3441,16298,457392,464609
2175104,1233,6367,163986,171250
922712,506,2725,67122,72574
818740,440,2351,58630,65265
827216,448,2384,59704,65572
3481580,2024,10034,269242,271867
5532044,3241,15640,430920,431942
5829147,3409,16972,453397,455732
5615225,3295,15839,438102,434567
5475228,3195,15454,424684,437579
5691771,3334,16053,443171,443545
5789151,3391,16168,451003,450302
5668755,3317,15969,441038,453162
2995317,1725,8397,228973,243451
792715,432,2328,57571,65858
756369,400,2216,53330,63739
2608454,1490,7671,198029,214620
5830709,3384,16915,450072,486494
6048302,3507,17165,466436,494087
5985587,3491,16775,464056,478337
5522766,3230,15727,429458,436851
5718644,3333,16357,443028,460075
3621418,2100,10359,279483,285266
1028894,538,3132,71661,84396
4279504,2486,12417,330791,343509
2913885,1665,8314,221452,239549
1017601,536,2977,71438,85831
5185528,3025,14533,402099,408460
5857557,3417,16535,454328,472155
5754888,3362,16466,447013,459904
5912862,3449,16649,458456,476083
5610396,3273,15952,435181,452022
3258084,1873,9153,249086,268164
984837,512,2998,68381,82886
968680,521,2840,69320,81883
835956,448,2423,59724,72614
4722797,2753,13396,366154,379732
5290282,3097,15105,411635,413363
5801610,3394,16284,451269,456217
5801336,3393,16297,451003,454708
5379083,3145,15470,418152,425545
5866207,3417,16552,454328,481742
5792157,3360,16308,446880,496172
1119501,616,3161,82023,95753
845617,456,2441,60798,73853
796352,425,2340,56517,69243
2678385,1515,7791,201853,229723
5430499,3136,15437,416955,485712
6548344,3770,18265,501277,599160
5835746,3368,16300,447949,525801
6238222,3594,17258,477879,573401
5984924,3465,17088,460579,523078
6319888,3642,18250,484125,574816
3672283,2136,10008,284120,263270
900250,489,2605,65019,85125
5950924,3428,17261,455929,541970
5846610,3370,16933,448087,528650
