cycles,instructions,load_misses,store_misses,ept_walk_cycles
8914800,8943938,2470034,814417,532346
221542221,296313062,215175525,95325,63413
240538364,322370928,234115664,92768,18503
240497803,322335875,234090015,92821,19165
237837266,318728489,231469401,91728,17794
241365437,323488694,234927170,93132,17976
240970015,322939811,234528626,92976,20334
241241080,323322577,234806127,93080,17823
240144228,321838030,233729260,92612,17879
240132474,321845356,233733448,92664,17626
241036969,323063693,234618906,92976,18166
239934220,321566764,233531305,92603,20487
240124470,321743497,233659734,92622,18926
240146254,321826433,233720340,92612,18849
236545865,317012369,230223069,91260,17389
240075410,321743916,233659462,92612,19487
240332653,322094354,233915490,92716,18104
241215140,323300472,234790442,93080,19154
240354660,322156874,233960103,92768,17782
