cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
74646945,4778084,5114454,10067870,116612,317897,3137281
86436616,63357,5674228,11760533,125799,381688,3674936
86123699,63289,5937152,11975191,124794,372286,4134907
145119842,13522264,4673627,69405282,93099,786571,25503258
328551483,53316597,131576,234197772,551,1928960,82536971
338930488,53813648,133252,233936808,572,1931860,85585570
341850663,54080477,135679,230198236,588,1929363,86210813
342080043,53986813,135364,234072026,530,1892640,85937144
337840153,54083587,136901,233849001,686,1923860,82601665
328218009,52971371,133972,233535618,587,1922451,81816401
340486602,53381885,132684,231567348,596,1912824,85394432
341450643,53882991,133806,229932894,545,1923007,85594039
341935351,54117723,133875,234267987,566,1890148,85935800
336297389,54088621,137650,233883528,614,1926246,82530776
328802228,52964630,132294,234242202,556,1927699,82288321
341887722,53990623,132184,231843574,554,1925311,85991169
341380132,53807998,130834,230494291,556,1921664,85665357
341863860,53929429,134124,233787922,585,1887456,84823444
334623500,54063468,133803,233754678,597,1925701,82451544
330295854,52990058,133809,234559517,591,1932708,82922009
341920548,53905094,131127,230246227,622,1919549,85745991
341049120,53875267,133563,231622279,612,1924463,85600221
341800511,54091332,135754,233979762,599,1891060,85053341
333589538,54064380,135887,233814980,727,1933064,82150056
331428843,52927643,131658,234397025,579,1928924,82902256
341792942,53913537,133403,230222953,646,1925958,85803170
341331922,53956244,133467,233069389,717,1919567,85663425
341985941,54151619,135802,234471821,597,1898042,84617625
332162219,53728609,135764,232671214,586,1913595,81828518
332349091,52788294,128637,233903130,665,1923633,83123790
341903710,53923508,131649,229111138,611,1919970,85876162
341152712,53942294,131096,233865744,599,1916715,85670610
341835972,53864763,135218,233507861,585,1895784,84039035
331221162,53886090,133837,232560246,591,1918291,82300875
333858162,53305370,130951,235149666,575,1935007,83996370
341977042,53852084,133045,228677796,526,1921011,85525829
341256179,53781618,134084,233397845,591,1905400,85605909
341990796,54005679,132467,234571930,613,1905301,83734986
329551490,53651604,137009,232930184,582,1919620,82242667
335424881,53312957,133403,234213019,680,1927791,84328777
341821520,53993919,133551,228734707,556,1926295,85780733
341266585,53953268,134777,234472930,552,1904993,85676213
341760361,54100541,134016,234781445,608,1917181,83462324
328480357,53595918,134335,233902520,597,1926777,82221287
336604305,53487889,132057,234305079,643,1930366,84674646
341740280,53992877,133614,229210907,560,1927774,85823129
341209247,53965496,136799,234396560,606,1897957,85897462
340708914,54107860,133106,234214290,569,1919416,83299682
328419668,53294053,135070,233160092,573,1920022,81923354
337817819,53497137,128796,234247463,608,1926534,84480623
342019518,54063378,135242,229110249,517,1925035,85925973
341411905,53854210,131005,233226464,555,1887922,85578525
338952724,53984990,130773,233873497,593,1921972,82695638
328544817,53209451,133605,233848248,567,1923615,82306180
339231452,53912054,132266,233885322,605,1928787,85521678
341855457,53853519,137008,229175326,575,1921031,85903913
341256157,53840919,132789,233110287,555,1885348,85701035
338004064,54038837,132333,233882370,568,1925402,82499458
328239925,52992864,132533,233522111,536,1926760,81801951
340239614,53901886,131742,233191042,574,1930573,85561569
341940572,54139728,134100,230851523,617,1929850,86179998
341007564,53762722,133577,232638849,585,1878763,85240377
336958782,53978811,134444,233316949,548,1920146,82504829
328485308,52930711,132298,234214265,639,1927878,82116584
341270157,53894490,129304,232690979,561,1924878,85657088
341822715,54117530,134003,231024830,537,1932952,86075946
341163189,54006514,137242,234213861,616,1885919,85394168
336128894,53996657,136597,233337439,594,1921718,82208762
329071217,53064444,135256,233876141,584,1926863,82418840
342311851,54007479,131265,231045828,586,1922924,86005772
342327740,53160299,138445,228742388,572,1899995,84325933
341712816,53607174,133988,232052141,563,1875863,84111885
333357850,54156140,133081,234334294,584,1932795,82188162
332539545,52838434,128803,234154810,579,1924780,83347025
342323190,54224704,131889,230593012,794,1932167,86209843
342222386,53921152,132164,233288690,549,1909558,86000453
341736337,53928995,133474,233696667,547,1904020,83380813
329962408,53838132,132627,234146174,567,1929116,82507065
334770703,53103674,129131,234096774,621,1923363,83834622
341739985,53690130,130922,228013324,582,1918703,85466572
342032579,53932003,129051,233527906,563,1903938,85791925
341348513,53876997,130557,233271753,555,1914276,83136501
328612724,53670597,128698,234223594,562,1926943,82423783
337292112,53480171,128648,234779908,553,1930852,84578905
341830627,53913501,131968,228540176,619,1923926,85721942
342032182,53706415,132180,232326719,559,1880361,85498214
338986426,53761883,131863,232815582,538,1913697,82275718
328621967,53299320,129367,233748449,540,1924888,82161200
339061786,53577915,130448,233193672,591,1919715,85040364
341924685,53825391,130779,228785112,540,1918748,85508514
341985735,54013904,128850,233919507,572,1888501,85917928
337156900,53980943,128498,233563206,554,1927801,82180777
328539377,53054000,126416,233865695,595,1927544,82221944
340931341,53908096,129782,232908322,598,1931438,85595170
342018154,54098803,131762,231217580,524,1930870,86114903
341770129,53996363,133524,233777679,569,1888266,85665174
335652063,53801027,128432,232182039,544,1914437,82061146
328536604,52824672,127677,233069199,546,1919519,82106051
341996497,53958280,123519,232235691,560,1926917,85713525
341961551,54000285,127448,231416323,505,1930265,85743666
342073126,54201030,126889,234571155,560,1891751,85494746
334089910,54075655,129703,233870198,534,1930263,82432860
330245852,52987726,124201,234243424,531,1926918,82996472
341752819,53697194,123110,229663827,551,1913537,85438196
341826012,54018563,125030,232213539,534,1928136,85760346
341758259,53833866,125747,232941440,536,1885343,84689567
332794739,53943098,122354,233752658,506,1924092,82290801
331423952,52846907,122500,233622133,564,1921626,82832615
341892446,53905156,123782,229881536,588,1921749,85959737
341764188,53868009,125045,232306060,544,1920791,85600273
342088253,53996038,125164,234028485,518,1895935,84540866
331195297,53796325,122463,233129641,570,1925429,82090444
332932277,53005292,122638,234511403,542,1927537,83715861
341880770,53993506,121088,229557986,573,1927833,85801296
341576889,53988834,124389,233581530,522,1915914,85875837
341822764,54054829,123013,233934391,530,1902949,84279944
330425394,53892774,122460,233969152,533,1925749,82541880
333942135,53298823,121304,234747921,570,1930727,84059659
341982514,54069311,120291,229834368,497,1932004,85756802
342001563,53937055,122626,233843690,526,1906659,85764621
