cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
248878062,226173604,313238858,1455025,6011886,42117,99542875
341246922,313275558,447339051,5658,8104914,228,140907552
341743742,313871300,447955005,7983,8295078,232,137438529
330009408,311621865,447522025,6618,8280131,235,134048940
334226997,307744994,441222848,6710,8290078,237,137227070
341472993,313482206,444041200,6858,8281603,238,141022266
341236844,312957338,447045793,6710,8095428,225,140893028
341655550,313584428,447590469,6894,8286157,226,136719030
328923232,311019561,448031814,6281,8290518,231,134280279
335627336,308999295,439966652,6928,8293401,233,137921369
341461020,313424019,445333345,6933,8256785,235,140993851
341053559,312650779,446287935,9020,8112581,231,140694444
341345373,313519051,447856315,6430,8292299,230,136106751
328084189,309627554,447000563,7017,8279420,228,133938639
337051326,309894050,438526096,5845,8295839,229,138583289
341825501,313407573,446766558,3644,8216392,227,141054824
341447581,312749974,446573597,4881,8151741,225,140734528
338902833,312989670,447025133,7532,8279527,231,134691873
328204421,308217957,447565269,5973,8286043,234,134113914
339049935,311018119,436601440,4328,8281478,229,139566870
341639131,313485302,447683078,5312,8182313,226,141021466
341093850,312509335,446138400,5773,8180189,224,140614930
337613073,313600663,447990693,3564,8293679,223,134344883
328103822,306830386,447392928,6907,8281211,233,133966855
340218348,312624345,437754655,6239,8295777,233,140303777
341554212,313514815,447702878,4361,8158267,224,141055464
340887529,312624480,446471122,6155,8211018,225,140457573
336588698,313688487,447960308,5274,8293186,230,134327685
328271554,306341189,447858575,5415,8291738,232,134103631
341786290,314082229,438645342,5094,8308227,228,141257744
341880460,314007268,448089083,6272,8130382,228,141133003
340903524,312444943,446121389,6535,8242919,228,139341930
334735433,313651455,447704881,6706,8290510,229,134240512
329629255,305671538,445018996,6562,8277055,233,134671859
341710787,313703534,439571892,7393,8298692,234,141070273
341656731,313580505,447612943,5640,8098840,229,141023064
341069282,312530531,446383859,4664,8265494,225,138694541
333434317,312698143,446735109,5903,8273045,229,133824872
331116619,306290108,444676812,5352,8287683,230,135615704
341726966,313968204,441191599,6595,8305540,229,141149249
341549341,313672258,447851801,5502,8105010,228,141032872
341255828,312858095,446814836,4715,8269999,221,138320212
332324213,313635112,447813529,6552,8288259,231,134162690
332046870,305921937,442570444,8896,8281556,240,135980260
341905766,313608469,442044424,4440,8294663,226,141024616
341542010,313301983,447265842,6681,8093060,232,140947998
341848499,312759760,446606302,5836,8268156,226,137351531
330768034,312053006,447113669,5462,8281227,232,134120860
333863922,307937066,442061550,7811,8300426,231,137132792
341606316,313613717,443768645,5124,8292126,230,140967180
341684292,313657923,447694239,5341,8106875,223,141028659
341762247,312712251,446158097,6926,8260391,227,136621457
329574647,311583734,447673499,5265,8292748,229,134282018
334893371,307824894,439364675,5920,8279848,228,137291479
341674058,313568462,444761823,4609,8261950,229,140934718
341753340,313567763,447707055,4256,8134992,220,141077859
341567226,312631894,446329267,8274,8263648,235,135982650
328393423,310279596,447553931,4555,8285560,227,134077578
336437547,309934168,439119544,5349,8303306,227,138324655
341467246,313576888,446436361,4049,8242454,227,140891616
341695921,313812729,448089704,4385,8160507,222,141167955
340584705,312889120,446506905,4580,8266380,225,135555408
328475473,309931968,448174669,5498,8302871,230,134304551
337427044,310026183,436990028,6468,8284731,233,138709787
341775531,313789608,447690038,3938,8215870,227,140951730
341694253,313587503,447637863,6678,8186237,229,141050713
339009404,313336409,446268047,3982,8266457,225,134718520
328289103,308344002,447420705,4033,8283969,227,134082469
338624181,311202719,437448416,4811,8293880,230,139394975
341934719,314037977,448128592,5343,8195383,227,141217002
341717128,314114556,448133319,5684,8218841,226,141201329
337825882,313587619,446797364,5859,8273989,232,133991027
328320841,307242843,447632623,5660,8291380,228,133992732
340147780,312318053,436766695,5558,8283564,234,140232505
341831187,313742064,448028590,4112,8163014,225,141014384
341478925,313502277,447639362,5841,8242205,226,140246170
336406804,313595739,446704600,7555,8271947,230,134081712
328391951,306195946,447197168,6843,8284955,234,134067314
341783409,313736803,437809140,2991,8297820,218,140939868
341799995,313725306,447494347,5012,8128048,217,141046443
341670368,313870038,447667773,4627,8276615,212,139709810
335016168,313505896,446695795,4660,8271165,217,134011700
329730029,305195604,444371688,5222,8252792,216,134799001
341411049,313305975,438646307,5701,8285961,219,140801883
341765907,313988781,447923904,4157,8115127,211,141096595
341713276,314071086,448247726,7845,8305131,213,139068605
333101851,313072875,447492429,5816,8273958,211,133595914
330871299,306080183,444357552,4091,8287261,213,135459438
341735050,314005509,441088218,4462,8306947,214,141029734
341544893,313751058,447526260,6760,8105203,211,140930330
341781705,314248585,448421887,4513,8308494,200,138619747
331849926,313231635,447614484,3741,8279518,202,133647618
332387494,306404470,443247503,6927,8296498,209,136181952
341323897,313074909,441117575,5028,8282472,200,140581479
341368803,313686493,447659696,4762,8106336,199,140892691
341567041,312288269,445892716,4526,8269200,197,137046670
330899520,311164489,445681372,5856,8244317,203,133343292
333399115,307492006,442470768,6337,8298522,209,136771705
341913799,313809690,443058185,4400,8297870,198,140960590
341841798,313956978,448287567,4785,8116407,198,141107443
342034368,314098390,448117618,5947,8304089,199,137030170
329063971,310777776,447482615,4504,8275167,203,133648094
335459230,308709788,440148253,4447,8290525,196,137513722
341382933,312960446,444268370,3804,8248223,198,140545579
341881060,314221931,448280638,4447,8150146,197,141201297
341217338,314009001,448121121,7930,8301587,207,136112199
327825492,309624289,446982624,5378,8283965,201,133717703
337261691,310505280,438439034,3473,8302720,195,138814536
341653726,312869490,445836682,4526,8194124,203,140816432
341963998,314018187,447986921,5523,8181663,198,141099348
339187318,313778291,447730980,6662,8296509,202,135086728
327967601,307252336,446225839,4958,8265379,201,133284243
340204579,311882402,437515117,7148,8294930,205,139940429
342196618,313372434,446755398,4459,8142404,198,140727408
342443099,313890269,447703206,4718,8248216,192,139996296
335593517,314401879,448755667,4501,8314258,199,134081554
330687427,305277007,442561994,4538,8260146,197,134826347
342587655,313690995,440597987,3850,8294991,196,141034948
342544497,313630696,447505142,6819,8103078,204,140982141
342721165,313931638,447885032,6514,8295035,196,137376895
330216214,311744881,448843388,5697,8316629,203,134044234
