cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
62989289,3316375,4571101,8899551,101004,270114,2692736
76140943,55729,4989554,10866125,111734,336421,3279674
76091779,55732,5285693,10907752,109061,334547,3518574
75900919,55587,5624367,10960389,111375,328121,3855418
73226315,55304,5654380,10986989,111536,335230,3730881
74449646,54832,5537755,10996298,111571,336082,3823784
75950394,55689,5631247,10744139,110406,334740,3976777
75897859,55645,5619668,10961019,110074,325943,3984950
74576225,55673,5615645,10989434,111473,335919,3700984
73446917,54529,5635272,11003402,111744,336414,3778017
75873649,55671,5568102,10748139,111583,334806,3926697
75803507,55637,5633545,10941263,108913,331602,3900677
75961133,55810,5651749,10986610,111750,330717,3799347
72835580,54819,5687837,10873413,111256,330854,3921195
75099404,55129,5630955,10842010,111369,328983,4016565
76297955,55836,5760035,10733147,109781,331788,4168636
76009910,55732,5674593,10978915,110959,326476,3895244
73997110,55704,5682622,11060397,112239,337763,3693997
74973617,55071,5520736,10932497,111873,336750,3859012
75926305,55672,5608793,10645829,109645,335505,3911524
75639201,55494,5590827,10837685,110421,326917,3848195
73968438,55540,5622935,10848267,111178,334696,3723357
73454099,54442,5569331,10858144,111339,335062,3762133
75825006,55710,5541331,10634034,111477,335701,3902664
75962235,55780,5623314,10891596,109090,331417,3920067
75645464,55637,5211478,10878633,111371,332706,3265986
72815134,54697,5126141,10859828,111521,335702,3118550
75433732,55294,4961664,10738046,111043,334085,3251091
76339886,55868,5112277,10726921,109343,336317,3296260
76216309,55629,5242298,10732015,111392,321730,3380032
73607011,55311,5211985,10731606,111132,330460,3235749
74151812,54358,5145039,10713637,110987,327799,3350093
150193909,93756843,7144313,6636645,150020,203794,4227957
339975399,300102145,14285341,946,313387,215,6337360
337543116,299934838,14007599,932,309387,215,6022499
326154778,295117693,13766455,962,309485,218,5986517
336306527,293146068,13946146,982,315532,218,6134740
339784386,298633958,12743159,966,298671,219,5238945
340046777,297966612,14205469,964,346496,212,5242594
335373694,300219465,14041107,983,334631,218,5053519
326672043,295819531,12891768,966,309539,215,5044475
339125301,302427307,12078985,972,299792,218,5323807
340725292,303820285,13436299,934,302733,217,5353636
339887969,301033236,13617684,1002,328738,213,5249791
332241065,303055161,13529752,976,316988,217,5029874
329394142,296550884,12615319,978,299492,217,5098254
339489060,302595376,12421282,938,292465,219,5295826
340053520,301949379,13121470,908,307002,217,5327286
340236235,300752727,13398698,944,321491,213,5182667
195155492,176408415,8112072,2093,203191,165,2956180
0,0,0,0,0,0,0
