cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
74477813,4264580,5197060,10364107,116570,314711,3248727
87145011,63665,5893036,12223167,125809,382196,3859903
86551793,63402,6059994,12445707,125723,369258,4025383
85267868,63454,6408821,12502251,127074,381231,4290166
83244261,62125,6402800,12469008,127093,379029,4325512
86687849,63628,6224945,12334031,127382,381723,4397923
86467731,63422,6352322,12354545,124082,377040,4545388
86467065,63489,6323349,12483673,127107,373145,4281045
83777217,63355,6271432,12514133,127116,381245,4118315
84093144,62090,6204621,12505157,126939,381899,4167777
86501064,63490,6295453,12208562,126909,381280,4483153
86494167,63497,6383409,12468034,124442,374589,4496108
86432806,63484,6373521,12523182,127065,378474,4330416
82991538,62740,6397754,12511925,127196,380114,4300997
85281753,62716,6238040,12388853,126894,377505,4399006
86416625,63505,6282489,12244809,125629,382230,4365206
86316749,63457,6360737,12367734,125662,372680,4437990
84979138,63462,6264310,12381054,127075,382250,4098586
82675429,62014,6291689,12385159,127108,382333,4147899
86029398,63354,6160483,12217369,126807,381683,4346844
86328568,63481,6350769,12222940,124153,381721,4466447
86319362,63445,6314182,12369013,127019,373308,4298277
84101188,63373,5780439,12357518,126903,381053,3600351
84157479,61851,5866515,12046605,126785,368314,3772985
86482096,63264,5813185,11813698,126638,370484,3850255
86535355,63351,5736319,12274296,123918,374994,3730273
86491781,63329,5768327,12230402,126773,371832,3628725
82806126,62495,5774614,12217999,126328,376823,3581738
162859298,281099084,3635428,14835100,78742,375659,4470956
340991661,843071651,57537,20309131,225,392140,6098997
340693023,840806150,58176,20687530,242,383134,6006555
331698608,837835393,62223,20548430,241,391131,5652541
330836128,820180956,64649,20614840,246,391089,5818696
340246673,837432264,69267,20108588,227,390941,6015722
340489969,840138289,69262,20899062,266,383412,6251287
335898078,841446847,57187,20663994,244,390223,5737535
326817204,820857990,55623,20625422,241,390598,5778578
340418573,837964814,59482,20201043,249,389802,6035190
340832116,839112787,64402,20558519,245,387111,6050050
339345264,837621097,71222,20593464,242,385516,5809580
325276764,828026527,68325,20826957,273,391832,5916726
337439522,835416055,53110,20485732,243,389788,6032853
341672562,842168354,53867,20484469,253,392510,6082867
340365789,838308801,52790,20570452,247,382294,5876317
329189811,835066185,59113,20631021,238,391077,5678517
333368699,824601247,55244,20779101,269,390972,6001485
340216416,841320899,51632,20393900,223,391211,6099717
340888707,841294618,50841,20703984,239,382730,6048799
335195762,839429764,56714,20681238,242,391243,5668541
327968747,821259800,59638,20663842,243,391314,5744992
341369806,841124004,54788,20278186,249,392171,6076984
265936869,651736140,173860,15929294,4843,294580,4461658
0,0,0,0,0,0,0
