cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
258528275,141759490,282867,41008,7866,1347,0
340526498,178007936,2228,0,29,0,0
340557755,177830875,2057,0,41,0,0
328039100,176741444,1042,4,28,1,0
334193481,175171224,1383,0,33,0,0
341532058,178389929,1008,0,30,0,0
340622190,178025813,1901,0,31,0,0
338279844,177945135,938,0,33,0,0
326589908,174928806,1204,0,25,0,0
338015777,176740347,1819,0,37,0,0
340725081,178092901,984,0,15,0,0
340502553,177998225,938,0,27,0,0
336056070,178426040,1190,0,34,0,0
327258971,173816029,1098,0,24,0,0
340534577,177840480,1608,0,40,0,0
340124245,177805304,1114,0,18,0,0
340292617,177825835,1458,0,33,0,0
333300842,178046065,949,0,32,0,0
329008533,173812753,1524,0,30,0,0
340625190,177919160,788,0,36,0,0
340482106,177900687,978,0,32,0,0
340629522,177926366,995,0,31,0,0
331528179,178263460,1115,0,24,0,0
332920866,174661988,1772,4,31,1,0
340575679,177937439,731,0,17,0,0
340178091,177821626,1483,0,33,0,0
340803391,177949880,983,0,30,0,0
327426301,176443711,1161,0,23,0,0
335140307,175505030,1855,0,35,0,0
340536586,177996378,1195,0,22,0,0
340603537,177945356,846,0,24,0,0
338921367,177951388,458,0,23,0,0
327316434,175595038,1230,0,22,0,0
337117578,176331576,1624,4,30,0,0
340746855,178086230,1167,0,19,0,0
342109116,178694694,928,0,30,0,0
334993734,178075317,881,0,25,0,0
328096477,174052449,906,0,23,0,0
340662457,177846353,1837,0,39,0,0
342356677,178806412,1403,0,32,0,0
340437661,177894252,1234,0,32,0,0
331071418,177962484,1127,0,27,0,0
331413327,174030123,1111,0,25,0,0
340453057,177739897,420,4,30,0,0
342088344,178667218,641,0,31,0,0
340265774,177743905,1290,0,36,0,0
328059070,176735290,833,0,21,0,0
334645066,175428985,819,0,23,0,0
340522604,177847907,771,0,16,0,0
