cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
3864378567,7024503302,347117,1954020,15614,38581,963807
5302363201,9700123500,80156,2510920,16715,52301,793317
5278239366,9658605515,83461,2474865,16816,52489,781291
5392269007,9742512536,80103,2454458,16609,52393,791763
5350379125,9718168134,80288,2468022,16550,52155,753833
5356752989,9717010850,83301,2461175,16719,51832,755653
5291507327,9717473585,82205,2444699,16753,52259,742194
5285076691,9665611282,83757,2481368,16720,52336,773602
5337125681,9733643287,82669,2440853,16656,52403,758810
5367475321,9736681153,79498,2483283,16611,52037,757179
5305298125,9698449279,81758,2470647,16676,52203,734050
5335319613,9720026982,85881,2431690,16686,52100,721873
5332701862,9720524873,78829,2435775,16742,52242,725229
5340589978,9726406515,77123,2439018,16700,52276,734138
5336817598,9713358371,78430,2437656,16729,52192,728947
5313014546,9697980908,78981,2431427,16627,52337,715100
5312731825,9695437364,87615,2450758,16680,52232,721787
5337157821,9743629824,81261,2441715,16637,52162,717742
5305444593,9691680182,79262,2426597,16664,52394,713636
5370646152,9733770222,77585,2451322,16475,52286,730998
5336524143,9706698934,84850,2479879,16653,51953,738850
5322550920,9699983262,82687,2434351,16781,52386,719521
5329213829,9714672801,81189,2435182,16662,52393,728334
5330910346,9732584609,79568,2436440,16730,52199,708996
5290957307,9698817344,80888,2438779,16773,52165,714116
5284152285,9677316277,82204,2453066,16783,52365,705049
5347830515,9762012878,80116,2424981,16683,52323,714839
5317988521,9692308701,118530,2456538,16709,52425,771613
5369081607,9749294950,80082,2417947,16647,52291,757033
5286242558,9670565306,124898,2526694,16761,52248,771746
5296780803,9694673707,82957,2439383,16829,52105,732315
5298829139,9682082193,83335,2420746,16715,52411,721239
5362073853,9743785352,81337,2416557,16690,52014,736524
5319418141,9698534011,82842,2428085,16749,52361,727325
5321872306,9740313352,79578,2441228,16722,52132,725183
5329083875,9739093742,80451,2448314,16725,52275,724994
5311587393,9700426659,81470,2437059,16766,52367,719114
5347792496,9730313471,84268,2445665,16748,52322,710879
5330676553,9717324647,80627,2438755,16646,52146,714908
5335410006,9725318436,79426,2463453,16694,51965,709342
5336864026,9703249088,81222,2418001,16678,52333,712318
5317355554,9708908730,84853,2423864,16755,52080,708160
5310919048,9708528702,80214,2421726,16693,52488,704328
5304048203,9696421434,78453,2442700,16714,52207,711614
5301549572,9683977483,77894,2429143,16846,52242,701561
5319485372,9688306282,82477,2426575,16681,52293,719212
5350800529,9748247134,83653,2471066,16713,52055,725132
5309907681,9708297942,78910,2440888,16728,52424,715765
5345191590,9715391863,82172,2419328,16734,52311,719055
5325461279,9721481656,78435,2444885,16674,52248,717541
5322595197,9744555063,81150,2438517,16683,52314,734649
5345184356,9732741548,83390,2455027,16742,52089,736398
5317269438,9714882117,80900,2431425,16686,52238,724675
5323549529,9714799884,79982,2457899,16712,52231,747636
5308094235,9701364280,78135,2457880,16728,52314,723011
5338491211,9731633742,80403,2411648,16699,52213,719766
5333350166,9707743621,81213,2445713,16760,52244,732198
5303449680,9694643469,82076,2435410,16643,52535,715873
5328716000,9691537818,78610,2443559,16655,52145,710397
5353923397,9704674147,80571,2437948,16672,52438,711644
5304547658,9712557083,85240,2445509,16690,52275,710567
5331395292,9730915660,82920,2437934,16652,52179,716089
5323711066,9700451693,77103,2435826,16714,52081,715864
5324275830,9705093673,78723,2429812,16658,52178,714203
5324109516,9727309262,79044,2457934,16712,52044,714498
5331382692,9743310454,81094,2426508,16723,52227,710301
5303994943,9686157526,83459,2446654,16625,52450,711540
5330815420,9693810289,77421,2431017,16765,52119,708397
5336399247,9734082592,79808,2446703,16618,52217,718470
5356090826,9734745044,82744,2419499,16581,52447,717811
5351051488,9732734780,85449,2440528,16652,52022,720653
5328608059,9770598178,84825,2445279,16782,52233,716603
5318519148,9714054190,82746,2431648,16719,52234,707931
5260276375,9648704164,78684,2449031,16760,52523,708959
5344702934,9735325659,79146,2434901,16735,52143,708822
5347857036,9738768495,79872,2424224,16631,52365,721897
5328775162,9710082503,83140,2436890,16632,52319,700758
5342489188,9711147146,76881,2446550,16671,52101,711897
5315587091,9755527162,77879,2420037,16664,52421,692006
5306602742,9701531818,81818,2430070,16641,52424,690122
5294041190,9673797726,84055,2445882,16718,52306,706945
5345368013,9698485227,81927,2412722,16659,52505,699517
5345883859,9729891011,81904,2432095,16649,52112,705426
5332478664,9714114930,78093,2472007,16772,52278,697380
5336164528,9756530407,79729,2449888,16738,52328,687878
5270855326,9659409765,78921,2436280,16783,52255,698948
5335394895,9704594593,79612,2459125,16758,52497,716254
5343421749,9725014475,79412,2436313,16583,52331,706438
5355807454,9741553913,77605,2462379,16648,52082,723214
5331428853,9715489500,79980,2435388,16791,51929,691660
5294911461,9716332604,79232,2439643,16747,52437,697637
5319097343,9707550867,85740,2441800,16831,52248,713797
5335166077,9721143709,78914,2422166,16587,52274,712423
5345837339,9692652345,76601,2449953,16623,52192,715946
5328196455,9699738567,77755,2444172,16729,52075,700799
