cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
4504277342,8164067844,194359,2299058,15743,42910,784504
5315090754,9619124586,79849,3056664,15703,49306,1124813
5290215904,9620335772,81407,3077687,15949,49649,1103832
5137035028,9494815689,79656,3064728,15863,49856,1092254
5262942642,9557255620,89915,3037572,15953,49969,1132875
5291146395,9598432218,82256,3080580,15541,49917,1110705
5316511781,9620996651,82830,3044987,15901,49130,1113840
5222026163,9625115067,82467,3053293,15931,49815,1071837
5185359208,9453726029,78288,3014117,15942,49909,1075045
5295927049,9611373443,77941,2997620,16012,50013,1135954
5309424849,9611892740,79946,3038900,15686,49442,1120850
5307023934,9622577790,82890,3033474,15919,49600,1093725
5136248057,9516462419,83058,3032659,15875,49886,1070819
5249611073,9539712685,77109,3015261,15965,49972,1104430
5297681955,9603916694,82813,2984240,15615,49937,1107844
5315944401,9620350621,79871,3021007,15865,49105,1110230
5238034537,9618029914,79796,3110573,15918,49886,1094237
5152302871,9440107068,82243,3021322,15953,49798,1082404
5306330741,9626220026,81409,2995431,16023,49992,1117245
5296144193,9597516219,85355,3012551,15794,49788,1118155
5321344371,9628150375,80928,3012456,16020,49340,1096372
5165209759,9564183138,80697,3013415,15873,49890,1071468
5222480962,9491441902,79213,3032004,15983,49890,1098701
5293502941,9614364764,86029,2951802,15678,50000,1094818
5306021320,9602539662,85346,3013380,15762,49131,1110490
5270471594,9623121954,79401,3014384,15882,49909,1069298
5143488670,9457566693,80905,3001755,15866,49776,1060907
5296437185,9614079504,81287,3037981,16025,49965,1125368
5286526749,9592355758,81762,3020069,15813,49921,1120348
5314403395,9618996834,84965,3024187,16053,49169,1095460
5193475451,9599815085,79965,3007888,15861,49958,1074725
5211409645,9467532253,80644,3052403,15947,49846,1097741
5295042779,9615273701,80109,2978769,15714,49924,1123027
5297378359,9604390299,80574,3051294,15754,49328,1133558
5278962921,9604257338,81604,3035918,15924,49755,1101351
5145037305,9496354517,79887,3048459,15883,49800,1100247
5276324147,9572603470,78703,3036546,15951,49904,1127187
5288063582,9596608186,81365,3028581,15555,49912,1148607
5311298089,9617630133,78453,3052780,15914,49110,1134967
5212673223,9610907098,82119,3064946,15916,50013,1107620
5183645235,9452391322,79433,3062705,15962,49818,1112175
5303271803,9627643109,77958,3011414,16006,50009,1139290
5297967261,9595870557,80147,3060800,15751,49527,1144101
5315027751,9615077789,80755,3116570,15947,49529,1139533
5141060592,9533112417,78963,3086019,15876,49801,1099745
5245957926,9526301505,81398,3064687,15971,49952,1132356
5290453282,9608564545,80538,3008317,15628,49898,1143851
5309747092,9611235238,79748,3042157,15832,49119,1134605
5249351579,9631027123,83111,3021301,15930,49957,1080529
5152829383,9453296190,80971,3077417,15949,49820,1110979
5300418625,9616492359,78551,3044203,16029,49981,1150958
5294066684,9595938158,80008,3068168,15778,49746,1148401
5313370980,9612068839,85592,3120329,16038,49275,1149486
5160428397,9566414870,77717,3104686,15858,49923,1114744
5233370028,9500113437,84012,3098086,15965,49858,1146401
5277828721,9604358105,78633,3041153,15667,50009,1169753
5300784361,9598997708,81919,3115162,15743,49258,1196883
5273426050,9620692890,78950,3114124,15906,49858,1156347
5144489006,9468208885,78824,3116542,15842,49839,1151767
5298904306,9613133389,80462,3101196,16010,49940,1195300
5290163562,9594943984,80734,3095912,15758,49938,1198868
5316198439,9628283064,81885,3134883,16030,49168,1191362
5194749855,9602489638,82594,3145554,15871,49828,1161604
5201356387,9455210673,78223,3151583,15958,49879,1184566
5289485692,9606768673,79985,3147901,15736,49921,1230109
5303966533,9604040953,82618,3144835,15713,49310,1211740
5285917869,9607916094,79356,3174269,15906,49707,1195328
5145384085,9501737476,82516,3162846,15887,49795,1177928
5268056639,9574546985,77743,3139206,15956,49957,1215329
5283742244,9590206592,86305,3125964,15571,49997,1223630
5311925252,9614589127,79951,3164954,15906,49089,1210059
5227013523,9630569273,80945,3167762,15905,49965,1175748
5181318528,9449509807,79650,3172190,15953,49794,1182981
5288129526,9608861296,81589,3095993,16018,50003,1206550
5288482692,9580681042,83436,3157802,15770,49549,1220252
5319190017,9620784837,82000,3166986,15974,49553,1201316
5146752686,9531949323,79372,3169189,15840,49841,1185406
5256991957,9536483417,79356,3184687,15950,49847,1212477
5286673273,9606891723,80237,3138708,15605,49935,1232400
5299059177,9600149803,86596,3151947,15865,49123,1212105
5248732065,9627617336,81326,3161620,15911,50023,1183364
5159164885,9446461474,80336,3228837,15892,49801,1214055
5304095653,9624776268,82031,3134811,16054,49957,1231809
5286208451,9596146173,79841,3156371,15792,49738,1225628
5312181294,9613300140,87749,3192094,16040,49336,1225961
5170435174,9567387103,82495,3192805,15885,49919,1195261
5233400274,9500535398,79263,3201468,15959,49831,1221432
5286908086,9609477675,78719,3131414,15663,49963,1225994
5294728119,9597538810,83781,3208918,15778,49146,1234423
5274265568,9622181791,82180,3163747,15934,49942,1187262
5144573814,9468835357,84569,3174022,15854,49846,1178254
5296647288,9608478858,81036,3150497,15957,49918,1219706
5291279768,9598564132,82827,3154020,15779,49891,1225417
5316164504,9629618726,81720,3173021,16031,49144,1197277
5195813487,9603122229,82038,3139479,15882,49927,1159633
5198147707,9449945164,80853,3195188,15971,49798,1205857
5297249769,9618866791,81062,3146659,15738,49990,1233418
5301329527,9599368323,80952,3206640,15713,49357,1246327
5287734266,9611156067,83276,3203550,15926,49699,1203268
5142695392,9497362355,79975,3202591,15858,49825,1190101
5267291114,9570649524,79493,3195969,15961,49976,1239768
5284617203,9592478177,81693,3174850,15553,49942,1243548
5312790982,9615678687,80055,3194789,15925,49144,1237943
5226574352,9626259772,84213,3212901,15878,49949,1209061
5183429823,9451491762,76453,3190757,15946,49816,1207354
5286988500,9609250030,78383,3157194,16024,49973,1245735
5291100441,9585171154,80758,3195403,15779,49604,1237056
5321152528,9625108833,82103,3184576,15942,49547,1211798
5146041160,9530498103,84378,3196887,15863,49893,1194664
5257236957,9536998106,79375,3207966,15922,49825,1230210
5286848838,9606914341,79696,3141560,15582,49969,1229885
5294855594,9589888429,81675,3236391,15863,49126,1254420
5246952656,9621688237,78543,3180914,15914,49930,1187832
5161642200,9450915228,77896,3185633,15928,49853,1196114
5304515638,9621160487,82323,3128513,16024,49948,1217478
5284310087,9589721192,76817,3182157,15775,49736,1226803
2686498159,4866298530,58790,1647227,8247,25277,633737
558009200,1004858879,215880,8924049,48118,230860,2680141
445667032,516741334,176552513,29445356,3435132,642119,66958960
341584310,259081457,218817187,28065797,3465191,497979,82206796
333747325,233430176,237196039,25835823,3347204,436042,83943116
330039073,216240004,258014649,26452590,3278793,416013,91834038
341681078,213412189,269418866,27060116,3226153,412618,101553648
341339692,207897858,283563281,28002864,3111456,412298,104760473
341665299,204310128,290742861,28805597,3154625,404213,105464186
331621919,201410571,296714583,29539449,3132804,414065,104339108
331821475,195397653,299267347,30098862,3126936,415524,108102794
341574678,198167080,302113638,29963057,3107088,416956,113760599
341368728,196412318,308761410,30818543,3019150,414211,114803466
341345635,195023734,311287676,31046976,3077599,410672,112743567
329525824,193075187,312878886,31278831,3064333,416282,110538541
333407454,189657971,310975223,31505386,3061683,417025,113987523
341387271,192556958,314197700,30999683,3053089,418481,117728825
2767745823,431373860,4324046442,21631834,48611510,244240,1339950611
5421136695,706535371,8708684709,12554148,97238344,118948,2778243355
5404195305,718965240,8891624994,12289654,98903267,110345,2785524481
5369377472,718052663,8898691245,13977986,99993579,250915,2771694716
5378133033,721146855,8894596063,14581288,99793002,151627,2809509729
5420833023,724192781,8908550909,13725798,99446426,127345,2832239782
5408466193,727930647,8996666662,13370158,100058337,111018,2816023620
5368840355,725175989,8980037996,13176807,100562346,122652,2801185892
5385497695,726067029,8970447382,12953145,100437966,137514,2828715221
5405647356,727416469,8980613408,12269654,100265940,112178,2839204678
5390025302,729056501,9000384089,12689038,100471020,124168,2820054291
5379117349,729657141,8998506018,12349980,101061543,120364,2826136391
4454892290,642127732,7671736133,10652309,85379148,112237,2440779492
2648475179,672696594,3352099139,4555235,37758878,45156,1078256941
5506426255,2033323950,69644044,15552,606676,3562,36909380
5012699832,1924653396,62238651,14329,562535,3235,32752745
4612962977,280394230,1932768007,8862994,28351663,233805,618856361
5430328862,160535716,2361205277,15397,34687452,3474,751650121
5381577357,160108474,2366435398,15501,34677440,3516,749300336
5407463846,160382983,2355659963,15421,34768082,3480,750155740
5410801368,160075107,2359890013,15534,34628407,3519,754553922
5439885719,160675956,2358389438,15524,34641432,3507,757262841
5403376497,160119650,2361836437,15357,34606166,3495,748551512
5396298335,159737108,2357066154,15575,34764832,3512,746458638
5396514959,160115053,2358323790,15419,34695288,3505,753466378
5434720699,160431441,2353973533,15342,34633399,3489,758246052
5417384131,159945921,2357966312,17503,34460756,4065,748308358
5399978706,159962598,2362358088,15456,34784261,3455,749584551
5402818645,160284965,2357319938,15585,34730314,3559,750150460
5420438149,159968577,2352713162,15436,34610273,3508,755835764
5422814337,160009582,2355747711,17617,34512994,4032,750198193
5392998555,159625147,2360757378,15505,34642691,3510,747872340
5405052111,160309981,2356585600,15387,34734518,3506,749236608
5408067262,159822253,2356440843,15377,34638611,3483,755102364
5431147915,160688229,2359748779,15489,34691328,3523,754480595
5394527133,160447020,2366019410,15385,34653423,3482,750075912
5407831054,160356357,2360600925,15472,34850278,3518,747978691
5397522514,159715538,2358460894,15448,34667545,3500,751866794
5438453242,160614358,2353182802,15360,34700278,3495,758554480
5417660978,160387643,2364737656,15423,34564216,3515,752599691
5408612815,159972819,2359949700,15448,34775837,3496,748317246
5381445061,159800540,2356079262,15364,34685400,3505,748125796
5425941819,160143035,2351308447,15539,34677582,3521,756940721
5427854347,160557616,2364869138,15221,34627066,3474,753675404
5408086094,160148863,2362585473,15428,34697070,3496,751909736
5402295300,160208491,2354257282,15470,34713897,3520,746951885
5395098225,159556309,2359336807,15317,34654835,3502,752395438
5437825241,160738804,2358864731,15416,34718996,3517,756303805
5408908035,160484954,2366742203,15452,34598196,3494,753679940
5407082729,160235586,2357129037,15312,34756839,3491,747653689
5380282159,159794065,2360437597,15393,34656475,3528,749376841
5423880014,160424433,2355916616,15440,34739137,3479,756542396
5426887764,160889454,2369275748,15381,34694494,3517,754460152
5420956514,160316032,2363831500,15415,34767127,3489,752080998
5403628785,160377635,2361650821,15357,34700444,3506,751614468
5413443260,160402108,2358845844,15519,34698260,3520,754299309
5409556570,160164002,2360797937,15396,34651152,3512,750091923
5409930912,160257887,2363577152,15292,34733523,3475,752737894
5414661507,160480118,2356347495,15571,34671412,3526,752615263
5415266654,160108253,2362494791,15279,34661454,3474,753932112
5417154791,160640521,2363048360,15465,34741663,3510,752624577
5393482526,159800208,2358494798,15550,34656414,3521,750557700
5420150364,160457606,2355514081,15377,34732746,3498,751604058
5405202037,160015083,2363404627,15457,34630905,3511,754057284
5429043596,160653625,2359461104,15391,34754396,3490,753018591
5388779832,160384251,2366498721,15437,34657173,3492,750692093
5422365965,160178691,2358990873,15454,34763527,3521,752593497
5404549091,160371417,2363801521,15463,34634573,3496,755271351
5432777567,160564911,2358673870,15578,34676694,3502,758710441
5407811166,160269598,2364326813,15403,34624001,3510,746870414
5388335021,159557253,2358937280,15461,34754368,3482,747734228
5411794162,160584392,2356813374,15495,34760818,3534,752888253
5420274876,159970162,2358581446,15335,34614041,3494,756645775
5436167345,160883277,2364242160,15521,34684497,3485,757266285
5401618274,160378413,2366066283,15519,34695666,3498,749650887
5404893591,160250760,2357276787,15457,34775007,3511,748723187
5399270361,159879590,2361307143,15456,34652944,3515,752612521
5434882494,160523689,2354571136,15362,34725121,3496,756949727
5412377378,160579635,2363083905,15436,34631252,3488,752408735
5408698966,160022791,2359043152,15570,34729344,3521,748399980
5392366332,160101017,2360632181,15478,34693619,3491,751709564
5433077382,160530870,2358964380,15503,34730846,3511,756063885
5416191096,160350979,2361181772,15400,34617077,3503,751579962
5407388783,160132540,2362173245,15512,34805884,3490,750175918
5396306034,160388087,2360935381,15552,34713625,3531,751440995
5416254313,159836269,2356952566,15452,34643007,3500,754476451
5419001444,160548370,2362854579,15343,34662191,3489,752521545
5403737720,160178837,2359948977,15601,34661948,3520,752739754
5417343577,160439355,2352726239,15420,34751644,3512,749831665
5394470675,159874404,2362596129,15559,34623661,3525,752999387
5429299190,160640675,2355422897,15407,34718875,3490,754986456
5397574721,160322390,2364994725,15358,34602673,3505,750236331
5417777109,160069772,2356845795,15534,34762389,3508,750335405
4919646202,154640866,2157728643,14358,31452284,3191,683952428
2778232106,86405905,1206649219,7968,17822612,1805,383390599
2681735522,81194661,1193299446,7765,17500458,1775,378994916
2706921919,82732736,1217431098,7739,17800430,1757,391759655
2716016506,83383747,1219693109,7758,17787192,1761,390181058
2693700332,82642231,1221879153,7813,17775083,1755,386711677
2694050718,83129130,1218021070,7793,17903894,1763,387736970
2688908259,82882051,1218992955,7733,17771620,1769,389907859
2703396156,82721009,1209915932,7753,17762516,1760,389629087
2700819144,83144036,1221902949,7778,17797615,1757,388902753
2687201079,82609521,1213324034,7787,17756613,1774,387277793
