cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
100119906,57162732,1301846,50692,30529151
238822084,135644553,3582941,79,84480502
241081823,136879281,3614209,76,85266112
240999223,136683809,3607849,80,85095199
222254809,130632329,3450973,81,80470307
241079961,136027790,3589819,82,85073548
238930173,135086006,3566848,80,84329750
241091637,136217460,3596595,77,85086894
240827309,136124646,3593148,81,85009688
238886237,135006538,3564525,79,84379911
240995215,136112587,3592337,82,85121045
240501996,136004197,3591228,83,85073178
241017908,135996538,3591349,80,84930821
240982233,135795828,3584831,85,84854964
240436350,135234698,3570398,83,84568475
240830049,136187451,3596212,80,85080207
240976132,135813088,3583878,80,84732331
241027406,136237083,3597762,84,85102215
240748337,136122135,3593741,80,85030616
238840171,135024146,3565931,80,84301193
240996191,136326828,3599069,82,85157890
240969038,136255311,3597409,78,85169918
238894636,134952722,3563996,77,84331098
241013526,136205524,3596220,77,85109382
240250808,135286560,3571924,82,84562514
238870786,135028640,3562911,78,84343883
240970201,136064195,3592133,80,84974202
240929091,135975413,3590241,83,84997666
241130806,136239315,3598425,82,85170234
238373221,134759096,3558314,79,84182225
240802461,136031522,3590386,79,84915907
241015754,136062708,3593122,78,84993680
240582109,135559330,3578837,80,84736326
241398009,136236121,3597322,82,85116770
240053140,135161538,3570252,83,84496912
240897485,136159334,3596856,80,85044421
240800936,135743162,3584216,86,84882417
240968293,136235285,3595929,77,85062882
241115051,136226810,3598151,83,85264149
238591084,134840490,3559954,77,84244662
241041183,136332325,3598586,80,85172671
238875002,135034189,3564511,81,84372375
240968608,136305969,3598541,77,85127164
240942438,136073926,3591988,82,85002772
240423226,135421008,3576046,80,84540991
241035735,136420044,3601114,79,85147010
241066116,136420820,3602905,78,85227777
239681713,135330984,3573810,81,84482696
240950113,136127529,3594031,79,85072498
238712292,134974639,3563452,80,84262534
241192213,136351225,3600050,84,85205511
241115205,135957463,3588865,82,84903209
240922738,135727878,3583928,83,84732073
238993198,134991750,3564355,81,84305713
240343891,135391774,3572935,82,84582244
241069421,136172181,3594147,79,85058419
238455922,134580773,3552810,79,84082751
241073056,136300354,3599021,80,85124345
241035722,136011650,3591074,80,84972601
236502295,132976843,3511747,81,82995859
241164895,136294742,3598628,78,85150426
241321765,136454034,3603424,81,85315435
238814628,134960809,3563693,84,84279111
239156959,135095798,3566595,79,84352277
240297312,135372183,3573628,78,84507807
241088769,136262968,3597221,79,85121612
241172010,136257203,3597382,85,85114274
241179368,136392672,3600759,82,85174943
240866062,136012488,3593409,85,85096952
238813271,134957991,3563548,87,84348381
241076972,136295424,3598160,81,85108986
240886339,136271492,3597994,84,85086776
238779667,134292633,3545828,83,84002829
241226971,135954060,3588031,79,84904052
