cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
41802082,8965101,55336,109892,3025718
48902226,30643,61280,155339,3642874
49166866,30815,61622,156212,3655821
49152803,30834,61651,155991,3643103
49121224,30807,61600,156197,3642036
49091719,30788,61572,155805,3646702
49088346,30784,61563,155392,3686450
48575311,30474,60924,154153,3620886
49145403,30810,61615,156501,3639401
49066619,30750,61493,156206,3655397
49048539,30700,61383,155348,3731972
48870357,30586,61167,155090,3714283
49002557,30674,61346,155528,3735947
49066900,30761,61509,155582,3662695
49071295,30770,61527,155367,3673536
49102860,30812,61617,155523,3661449
49112641,30798,61594,155844,3643044
48529026,30410,60815,154091,3629269
49325326,30776,61548,161329,3552451
49539707,30425,60842,183042,2627244
52828344,32460,64936,195296,2768983
51939386,31901,63823,191950,2721965
52779980,32413,64842,194933,2764731
52776247,32403,64844,194491,2784891
51861859,31845,63721,191573,2736384
51876826,31878,63794,191800,2721527
52025370,31958,63934,192296,2727636
51443386,31602,63219,190150,2695267
53044769,32597,65221,196131,2781077
52929752,32480,64983,195707,2768866
53445816,32769,65555,197561,2792716
52564108,32210,64438,194112,2764429
52083276,31932,63887,192233,2740472
79204922,8579303,584507,155961,34931084
240895772,71363022,2871406,77,219956593
240779805,72434197,2865618,83,220106729
241027922,72643260,2867994,80,220425641
238735154,71922479,2840613,76,218371454
240789556,72594032,2865175,75,220325436
240732775,72518392,2864479,76,220285290
241164681,72633341,2869893,81,220558041
240956304,72586232,2868265,76,220523933
240918515,72681130,2867870,76,220469793
238673764,71737192,2842252,78,218235024
240939700,72651971,2866625,78,220610412
240691267,72488787,2864223,77,220250129
241222734,72774887,2870359,82,220813386
238087639,71740013,2832318,77,217916619
240786995,72624660,2866229,79,220475625
240769738,72561172,2865392,83,220319858
240189745,72375947,2859421,79,219863022
241179798,72677206,2869124,81,220640732
240954806,72734152,2867457,77,220681509
240725754,72677205,2863640,77,220416639
241163401,72834895,2869621,80,220844862
240725555,72653436,2864727,82,220345425
240824408,72799965,2866075,77,220561985
238237866,71964856,2834821,78,218223036
240627418,72732075,2864131,75,220294787
241019003,72870738,2869171,79,220808343
240155091,72376629,2859042,78,219851504
240768163,72746305,2864686,79,220681598
240797950,72751264,2865880,76,220689723
240942366,72769151,2868531,81,220628632
240870391,72672183,2866231,79,220536347
240711425,72673734,2865156,79,220609474
240817322,72689667,2865556,80,220553756
238182439,71976636,2833499,79,218353637
240905123,72577137,2868719,79,220542978
240873577,72626768,2868181,80,220448935
240216423,72336732,2862789,77,219947516
240833283,72562785,2867249,77,220608800
240754704,72576703,2867630,76,220367577
240680011,72656497,2867555,79,220429136
241011391,72544277,2870494,77,220459811
240753321,72629528,2868878,82,220457752
240792424,72631170,2868012,79,220474779
238156886,71886209,2837239,77,218133680
240775790,72654420,2868015,76,220534725
241028542,72763137,2870201,78,220757067
240222688,72291565,2861011,79,219838955
240671328,72559623,2867638,78,220396104
240680513,72601503,2867563,76,220486292
240719359,72656094,2867460,76,220419657
240725365,72563621,2869214,79,220396675
240721754,72668556,2869152,79,220406554
241128204,72706966,2871975,82,220869327
238209846,71874677,2838138,77,218163832
240734524,72603642,2866953,77,220283612
240652015,72636130,2867296,82,220481855
240325809,72407009,2863350,77,220033773
241077433,72726558,2873072,79,220786451
240751604,72601503,2867456,77,220437669
240652290,72661860,2867842,77,220393640
240723110,72599395,2867704,78,220406751
240734801,72663906,2867265,80,220419457
240711623,72664961,2868721,79,220573142
238095675,71816180,2834324,78,217911170
241164613,72808676,2873752,79,220900270
240716373,72665270,2868430,79,220493715
240165663,72326130,2861707,77,219827490
240716923,72619700,2869336,78,220420808
240693239,72624599,2867932,79,220327426
241218714,72804646,2874239,76,220856303
240878751,72623451,2871371,80,220520468
240735603,72699065,2869099,76,220593747
240636363,72565477,2867303,83,220486057
238211497,71921486,2839135,75,218274851
241077776,72701975,2872090,79,220697744
240704343,72664061,2868389,78,220424119
239928508,72319527,2859340,76,219766076
240642977,72608075,2868166,78,220416971
240940304,72648574,2869942,80,220565661
240737294,72732869,2866949,80,220667428
240823313,72577323,2869346,82,220563471
240985468,72767756,2872903,75,220818921
240672173,72626644,2867550,76,220299858
240535169,72565699,2865566,79,220368239
240343573,72495018,2864519,78,220082016
240749025,72690039,2869279,76,220523612
240242511,72354588,2863446,77,219825904
240645532,72568520,2866924,82,220372274
240616792,72554724,2866851,78,220313567
240764058,72644252,2870129,76,220626164
241042955,72675004,2872211,81,220718108
240703319,72665890,2867724,79,220553157
238195542,71863517,2839047,76,218119333
240742383,72666356,2867403,80,220425225
240731897,72623854,2868481,78,220534300
241085751,72793641,2873580,76,220788922
240288761,72469722,2865624,76,220052357
240655135,72614838,2868541,79,220437412
240225762,72404897,2864305,77,220021365
241076426,72796803,2874740,75,220877673
240988278,72735485,2873101,75,220747092
240937024,72764098,2871615,77,220823496
238309488,71988168,2841115,74,218253757
240899243,72702595,2870542,80,220716425
240799870,72735981,2870319,75,220739724
238837055,72091553,2845191,77,218858582
240266614,72481223,2864092,78,220102047
240958197,72674694,2872338,75,220681571
241241346,72653056,2876269,77,220838283
240901617,72660435,2871912,79,220619047
240882796,72709011,2871764,77,220798098
241168798,72755387,2874566,78,220946690
238159908,71912931,2839195,76,218182858
240763118,72653056,2869162,77,220552490
240877236,72760038,2870968,80,220722209
240818168,72665456,2871649,80,220613363
240469708,72537829,2866004,76,220303519
240967709,72681833,2871642,78,220737281
240834878,72757239,2871432,80,220598700
241183194,72729409,2874648,79,220874700
240847048,72663534,2870654,76,220536545
240916342,72691868,2872123,80,220544630
238544877,72056275,2842249,77,218499548
240754894,72627078,2870317,77,220575011
240451920,72484231,2865260,79,220204442
241008837,72656311,2872202,76,220616327
240322947,72421548,2865961,76,220060129
238739095,71939746,2844992,78,218651970
240870533,72694782,2871610,80,220658927
241090525,72736819,2874534,80,220931664
240962743,72685234,2871300,76,220610373
240902904,72684273,2870221,76,220683795
238151621,71920712,2839159,76,218172750
241108008,72766702,2873578,78,220813992
240894109,72694473,2869637,83,220710434
240825881,72659721,2869998,79,220641276
240686615,72621374,2868786,78,220477074
240854822,72689354,2869804,75,220576853
240890528,72737038,2871613,77,220622420
241263554,72842715,2875963,81,221046593
240785876,72682441,2869429,77,220652269
240786244,72693917,2869748,79,220579150
238183225,71938759,2839005,76,218287864
240713764,72634327,2868833,78,220479318
240947606,72707524,2870083,79,220698308
240918478,72760998,2871580,79,220780418
240407887,72521895,2865104,80,220136923
241155290,72728510,2874913,76,220891775
240867828,72691528,2870222,83,220622244
240788162,72688215,2868792,76,220438948
241137572,72808175,2874310,79,220943839
240899498,72774793,2871850,77,220591625
238141989,71945915,2838684,79,218300804
241099190,72806227,2873716,77,221014633
240541421,72614710,2865656,80,220331451
240593078,72600976,2866862,77,220444735
240161769,72505806,2863015,75,220072207
240748616,72662046,2870484,79,220483806
240792154,72696859,2869403,80,220633802
240738275,72655723,2869303,80,220627769
241035899,72771972,2872950,77,220807578
240892366,72750427,2871726,76,220661363
238046504,71888503,2835863,76,218157126
241092097,72800461,2872922,76,220915587
240600451,72670045,2867195,81,220382748
240886228,72759572,2870641,76,220626411
240432506,72501683,2864793,77,220109544
240673673,72583027,2867929,78,220507882
240776959,72741468,2869739,77,220685171
240749016,72682073,2869950,78,220548936
240950458,72817480,2872254,78,220811498
240841244,72816953,2871812,78,220726090
238301224,71973288,2840148,79,218352549
240778636,72774173,2869194,77,220614315
240806915,72745096,2869238,80,220492926
238691042,71993159,2844337,78,218589527
240428126,72566628,2864798,75,220188901
240891744,72692860,2872460,78,220718381
241295210,72923810,2875640,77,221142026
241113462,72818814,2873657,78,220937545
241060848,72789797,2873566,78,220717241
241054585,72797981,2872661,77,220808652
238264726,71930911,2838042,76,218275811
240805947,72756999,2870382,79,220689704
241031640,72798260,2871486,81,220853453
240825713,72718932,2870099,78,220715618
240368318,72540681,2863962,76,220298841
241163148,72778203,2875153,80,220992162
240790292,72697696,2870013,81,220538443
240666139,72657521,2867729,78,220342750
240794809,72680863,2870713,77,220537505
240818398,72751791,2870916,79,220692132
238494148,72050571,2843030,76,218502445
240795874,72748598,2869837,76,220660223
240681423,72716916,2868574,78,220519192
240709852,72649089,2867998,78,220577494
240353225,72546994,2862790,77,220144518
241131945,72658957,2874667,80,220801877
240772716,72669362,2868972,78,220519170
240817936,72695403,2870107,79,220627177
240660339,72662139,2867800,75,220509369
240744609,72713134,2869857,76,220429091
238599061,72040310,2844323,76,218541691
240658196,72636006,2868039,79,220570339
240713622,72667750,2868594,80,220387045
240853850,72721133,2870429,80,220681883
240143494,72474496,2862006,76,220036134
241111512,72536434,2875798,77,220760328
240945775,72651258,2873254,77,220632055
240809348,72693233,2871556,79,220638936
241158295,72825695,2875322,78,221008410
238274674,71966778,2841478,76,218438771
240776528,72708329,2869335,78,220531541
241142181,72826811,2873974,77,220876689
240736903,72687900,2869077,77,220450905
240839571,72640855,2871174,80,220575684
240183653,72538964,2864136,76,219937120
240815174,72581446,2870476,77,220496305
241028839,72712545,2871812,77,220793002
240744865,72692644,2870882,78,220651983
240784193,72632100,2870859,78,220483098
238138047,71874181,2837950,78,218060466
240823156,72683219,2869678,77,220533495
239121512,72101516,2850253,76,218934948
240781095,72608187,2872146,76,220497205
240782054,72641338,2870372,79,220570485
241069097,72707772,2874202,81,220741047
240226843,72387417,2864062,77,220022478
240717393,72668928,2869498,76,220655353
