cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
18086535,8949575,25912,35487,1355227
28465909,17773,35560,90023,2224550
28564519,17835,35677,90514,2200917
28561585,17830,35658,90132,2249565
28604577,17824,35672,90545,2245092
28548256,17863,35722,89991,2197789
28530582,17853,35706,90280,2167745
28517306,17743,35493,90453,2328648
28683520,17819,35623,89711,2352389
28553375,17806,35620,90017,2180064
28727522,17829,35650,89779,2504187
28608043,17838,35688,90238,2296681
28750907,17806,35623,90420,2485308
28578704,17845,35689,90590,2157589
28637211,17832,35672,89412,2390410
28043907,17450,34898,88245,2318058
28632120,17842,35687,90172,2333988
28518508,17818,35635,89346,2190965
28588573,17867,35720,90133,2157551
28558941,17852,35695,89870,2164570
28599604,17844,35676,90212,2191156
28613388,17853,35701,91023,2147455
28581315,17856,35715,90279,2147545
28573872,17853,35697,90235,2150562
28603978,17853,35694,90669,2151560
28594849,17837,35664,90154,2151376
29596845,18499,36998,93492,2234544
30048251,18790,37579,94165,2310341
30157265,18864,37729,94560,2295562
30183489,18857,37716,94469,2288422
30216140,18875,37754,94580,2362641
30470335,18821,37641,104827,1974848
30660596,18770,37539,112870,1638954
30575467,18739,37476,112734,1616324
30602622,18740,37475,112718,1620649
29970048,18365,36728,110446,1602389
30647095,18784,37567,112969,1625880
30622349,18775,37547,112903,1615621
30599414,18739,37479,112688,1644239
30648795,18780,37565,112903,1619141
30665644,18773,37551,112883,1659146
30673250,18810,37618,113108,1618847
30662772,18794,37585,113050,1618469
30551321,18722,37440,112604,1612816
30475974,18684,37370,112348,1608427
30684195,18804,37609,113094,1617900
30663135,18819,37649,113184,1624657
30480350,18712,37445,112521,1610082
30622030,18812,37647,113112,1622113
30667436,18819,37654,113181,1643198
30646269,18820,37653,113199,1626139
30632181,18798,37622,113091,1621667
30592173,18784,37590,112962,1622192
30632112,18802,37627,113063,1621962
30602899,18799,37615,113068,1620890
29994668,18413,36829,110756,1587686
30671599,18805,37629,113099,1647055
30659159,18823,37665,113180,1634828
30670353,18822,37661,113158,1642754
30677614,18832,37680,113303,1630354
30577452,18755,37522,112816,1622062
30660356,18821,37658,113248,1629519
30530847,18741,37499,112771,1621100
30577537,18781,37577,112955,1620889
30590515,18786,37594,113018,1621425
30586391,18764,37536,112884,1640866
30656250,18784,37576,112972,1660319
30430769,18686,37387,112415,1613823
30542157,18759,37535,112810,1617721
30599239,18773,37558,112896,1621383
30617997,18777,37568,112932,1645760
30545583,18744,37514,112753,1617396
30619872,18777,37576,112925,1653092
30583526,18769,37556,112905,1633486
30595576,18785,37594,112983,1622410
30611621,18789,37590,112959,1640350
30556066,18749,37516,112748,1656832
30658910,18815,37653,113127,1648917
30595406,18790,37593,112968,1624751
30640725,18821,37662,113215,1623608
30582603,18782,37581,112983,1620765
30566600,18762,37541,112808,1639748
30630496,18822,37667,113141,1622263
30617950,18775,37565,112880,1648872
30649051,18813,37639,113153,1625820
30559785,18762,37529,112849,1617584
30649389,18767,37545,108761,1746440
30425847,18674,37360,112319,1620449
30597142,18771,37552,112894,1641586
30649814,18820,37663,113203,1629800
30591949,18779,37585,112902,1637275
30600159,18781,37588,112971,1626101
30614502,18767,37551,112842,1637843
30615300,18776,37557,112918,1642962
29923624,18372,36765,110528,1590210
30639446,18810,37641,113125,1624816
30608144,18798,37624,113062,1621954
30630513,18810,37635,113112,1628561
30584739,18785,37583,112974,1618208
30650926,18822,37658,113167,1627357
30590705,18791,37594,113032,1620188
30637633,18811,37641,113123,1622504
30611834,18804,37621,113054,1620670
30638071,18808,37626,113085,1618744
30568227,18777,37559,112916,1619848
30651608,18824,37661,113196,1624514
30598833,18790,37593,113004,1621906
30496120,18734,37490,112636,1615653
30582655,18785,37580,112937,1618710
30584439,18777,37563,112894,1636189
30559708,18764,37534,112834,1623415
30593484,18795,37616,113017,1619374
30362462,18603,37213,111869,1612668
42789178,3407428,311772,78803,19687984
118394724,16457918,1109505,39,109050324
120663951,17029588,1118402,36,111294089
121323215,17606344,1117489,38,111588148
120732789,17521745,1110697,40,111078783
121158487,17627858,1114857,38,111510349
120723974,17563532,1110944,37,111046696
121182752,17668809,1114647,39,111317759
120642338,17561704,1109892,38,110855574
120636368,17564431,1109668,37,110864981
120631657,17557023,1109777,40,111029856
121014940,17623858,1113630,36,111235925
120571299,17561146,1109217,40,110988793
119858619,17361475,1103150,40,110208342
120611185,17441113,1109222,37,111039856
120872473,17603926,1111506,40,111192504
120647407,17565548,1109698,40,110940271
120891757,17590223,1111813,36,111085258
120459130,17463899,1108502,40,110885974
120729003,17583621,1109831,38,111014981
120598347,17559440,1109244,38,110822998
118032310,17111801,1085174,39,108311378
120584087,17480395,1110841,38,110930688
120952532,17608106,1112053,39,111239196
120680378,17555441,1109712,36,110935434
121571567,17710690,1118600,39,111845304
120700159,17538392,1109691,39,110846421
121163282,17651077,1114580,38,111372714
120673317,17588735,1109970,38,110950103
121123415,17642211,1112625,39,111400529
120876000,17557301,1111803,36,111127638
121179781,17642614,1113353,37,111451608
120809684,17594967,1110181,39,111072369
120425307,17530053,1106545,38,110765181
112986915,16872015,1071544,37,103726219
109838823,16743831,1058804,40,100726724
120768197,17525496,1108355,36,110893404
121150646,17559688,1110266,37,111225683
120778156,17512538,1107867,40,110982883
121251104,17597385,1112218,38,111502047
120790312,17568616,1109211,39,111003192
118467035,17221479,1088436,39,108758375
120635312,17532470,1108535,37,110819745
120538524,17534703,1106578,39,110719320
120546932,17514738,1106733,38,110844621
120648850,17548405,1106734,37,110796183
120809964,17536470,1109153,39,111005150
120683541,17539879,1107224,36,110826742
120655468,17557829,1107161,39,110780900
120662810,17477043,1108349,40,110905962
120741601,17493565,1109602,37,110861255
119438908,17315285,1096801,41,109904663
120804958,17557209,1108215,41,110944437
119882573,17382802,1099719,37,110183155
120788682,17465232,1108020,39,110895961
121075435,17571809,1110658,36,111270049
120857410,17553861,1108431,40,111070542
121118915,17576088,1111197,39,111330705
120941397,17526487,1110239,36,111109197
121104655,17524938,1110397,40,111291888
118188989,17103400,1084656,40,108586010
120490041,17287198,1107398,38,110948147
120719750,17504974,1106845,39,110780816
120543095,17505128,1105670,37,110809920
120669687,17545212,1106130,42,110923323
120644456,17490156,1106328,39,110862288
120785936,17471431,1108083,37,110992276
120844644,17537834,1109599,39,111090814
120583717,17533308,1105938,39,110842736
120630407,17508941,1105891,37,110837958
120693038,17520381,1106941,39,110788165
120586560,17399574,1107394,39,111012327
120684923,17506740,1107074,38,110854450
119831458,17328863,1099151,41,110016997
120820141,17474934,1107822,36,111022771
121068947,17521509,1110915,40,111145575
120572411,17510325,1105326,39,110751701
121158618,17579776,1111624,36,111233803
120723251,17519544,1107554,39,110899293
120977753,17545832,1109317,39,111202956
118201562,17192369,1083793,36,108513837
120301021,17450476,1103507,41,110515868
120775021,17534113,1108156,36,110879508
120529383,17479368,1104703,40,110563428
120610142,17507144,1105602,41,110737179
120208162,17456985,1102447,36,110366461
120667063,17458164,1107056,40,110860339
120966353,17513003,1110066,41,111145998
120646179,17540840,1105931,38,110805111
120567458,17497503,1105277,41,110785034
121114956,17606096,1110865,38,111105582
120421240,17441299,1104731,37,110507832
120789507,17542577,1107300,43,110921332
119888813,17350159,1099288,37,110123572
120767828,17495364,1107058,39,110917236
120635091,17478509,1105697,41,110740317
120750287,17552208,1107534,37,110894228
120943918,17529247,1108512,39,111056204
120748129,17523419,1106236,40,110920395
121172629,17558634,1111290,37,111325969
118178945,17181396,1082513,39,108491835
121272257,17590564,1111904,37,111353635
121041992,17577328,1109814,39,111157369
120790195,17500882,1108482,39,110881241
120694522,17539166,1105921,38,110764722
120595718,17509190,1104797,39,110697457
120651707,17487118,1106887,40,110852457
120646437,17385871,1106861,37,110898819
120598095,17536222,1105661,42,110624898
120637684,17504075,1106781,39,110736299
120643657,17531168,1105875,36,110782284
120693349,17472858,1106993,39,110822128
120484184,17529649,1104341,36,110552507
119852427,17330196,1099446,39,110150328
120694777,17528317,1105796,40,110884254
120598613,17443531,1106093,37,110760692
120791522,17539105,1107741,40,110874948
120569106,17489319,1105037,40,110740492
120729412,17546141,1105928,36,110777587
120616024,17450538,1106700,39,110748642
118146378,17188587,1082516,36,108329889
120651787,17499766,1105352,39,110769530
120650559,17547537,1105416,40,110709241
120451148,17433673,1104800,36,110565665
120650160,17554295,1105645,39,110749643
120361803,17445670,1103433,36,110563159
120639079,17543507,1105542,39,110663568
120494521,17451871,1105429,39,110604325
120634367,17540403,1106311,38,110727525
120719907,17519857,1106953,40,110827647
120267549,17460396,1102496,40,110420903
120573943,17435533,1105856,37,110674697
121078245,17592394,1110185,39,111050490
119968657,17351400,1099220,41,110248840
121236810,17585480,1110632,38,111261308
120659042,17450631,1105823,40,110777759
121228273,17611118,1111072,40,111241875
120616319,17501904,1105481,36,110661939
121163445,17609010,1110163,41,111203324
120499420,17482995,1104710,38,110529101
118108478,17176466,1083192,37,108330658
120677317,17529960,1106518,38,110737432
120785704,17548931,1107063,39,110872217
120663261,17545863,1107707,39,110757078
120715752,17579311,1106155,36,110696602
120588005,17421708,1106712,40,110692480
120762381,17467681,1107536,40,110883676
120622740,17503578,1107196,36,110687579
120554845,17526612,1106099,40,110628237
120645524,17526364,1106761,40,110635982
120654893,17530331,1105416,37,110572877
120539981,17503486,1105723,41,110647254
120595175,17542732,1106107,38,110718234
119823687,17341045,1098999,38,110137667
121092882,17573143,1109510,41,111241365
120665910,17501037,1105976,38,110768449
121227450,17524782,1111443,39,111225086
120590309,17411819,1106530,41,110609366
120573997,17520008,1105196,37,110603318
118022435,17148660,1083202,39,108382865
120575296,17531819,1106673,36,110697342
120682881,17545398,1107372,40,110771558
120566839,17452150,1105811,40,110628809
120547899,17430232,1105976,37,110715956
120692822,17516661,1106521,40,110793632
120545815,17507981,1105593,39,110660640
120584883,17525340,1105638,37,110700784
120684987,17532967,1106126,40,110794111
120597360,17513654,1106130,39,110575231
120662896,17521527,1105982,36,110669798
121438818,17606127,1112643,39,111470658
120540918,17496542,1104767,39,110599007
120670638,17535942,1106379,38,110685656
119855589,17318261,1100387,40,110099194
121000042,17533215,1108710,38,111120604
120673123,17511080,1106019,38,110676152
121062382,17570632,1109889,40,111044328
120667584,17531850,1105574,37,110704392
121058358,17575871,1109036,41,111147473
118171672,17168376,1083192,39,108420358
120461649,17503578,1103864,37,110543137
120654408,17522644,1105260,39,110682049
120625248,17530145,1105516,37,110674510
120644372,17543755,1105524,40,110650153
120514704,17502959,1105003,39,110646755
120597578,17529742,1105257,36,110578714
120952740,17571841,1108254,42,110972533
120647059,17535633,1105050,40,110652150
120552830,17406920,1106403,36,110691498
120723280,17539136,1106645,40,110780923
120526378,17487924,1105134,39,110612494
120756248,17535415,1105850,37,110787905
120523203,17500324,1105243,39,110598216
119934011,17349973,1099211,36,110062254
120858631,17504416,1106818,40,110802135
120605819,17516072,1105109,39,110701128
120552695,17489411,1104833,37,110616140
120602566,17542763,1105330,40,110574566
120431292,17483739,1103034,39,110518837
118021492,17154487,1080992,38,108056759
120695667,17542287,1107607,39,110757926
120607369,17538495,1105612,36,110597437
120255424,17460861,1102244,39,110286374
120736931,17527107,1106407,36,110777043
120255085,17428528,1102372,39,110351423
120538470,17513282,1105106,39,110684207
120597556,17508414,1105235,38,110639334
120625315,17541058,1104670,40,110628474
120937399,17551939,1108738,39,110933965
120647885,17546389,1105710,36,110628918
121230076,17580304,1111167,39,111208598
120641182,17507423,1104058,39,110571682
120653293,17497375,1105342,37,110659531
119798370,17343405,1098562,40,109841490
120504197,17459094,1103778,38,110599606
120660673,17424776,1106382,38,110814362
120599716,17465511,1105539,39,110684663
120703786,17550419,1106391,36,110737935
120907065,17541585,1108655,40,111070427
118126912,17157308,1081842,36,108313561
120519108,17498991,1104854,39,110613980
120628517,17516351,1105276,41,110747354
120629689,17501749,1105922,36,110684341
120638879,17530673,1105258,42,110655499
120482854,17467247,1104424,39,110515510
120629730,17544126,1106108,38,110565406
121027306,17559906,1109342,42,111073902
120656464,17552652,1105711,40,110584420
120536430,17499300,1104117,38,110510009
120515856,17506152,1103772,41,110571191
120606503,17501005,1105433,36,110671312
121692887,17691904,1114638,39,111651050
120688271,17515886,1105898,39,110728374
120080494,17381346,1100509,38,110110661
120705836,17483490,1106340,38,110650585
120819526,17554078,1106064,39,110770657
120760216,17506244,1105615,37,110759720
120747212,17546173,1106046,40,110683644
120676375,17523636,1105347,39,110664279
118181665,17184185,1081580,36,108399226
121068571,17568338,1108939,39,110915938
120747549,17556433,1105618,36,110731724
120952959,17531727,1108370,40,110929872
120341731,17477508,1101812,41,110394649
121076508,17563408,1109569,36,111003152
120719054,17552156,1105893,40,110679695
121052277,17560712,1109261,39,110951979
120734377,17563997,1106763,37,110858520
120369901,17346564,1104871,40,110636481
120685958,17497131,1105922,39,110772709
121244466,17550388,1110665,36,111380004
120701027,17526302,1105473,41,110704341
120471735,17478066,1103369,39,110447457
119982804,17375610,1099136,36,110140813
120554996,17380199,1104414,39,110612338
120619562,17451871,1105250,39,110683506
120642728,17491023,1105432,37,110735658
120696331,17552001,1105665,41,110657713
118014272,17112637,1081327,36,108232237
