cycles,instructions,load_misses,store_misses,ept_walk_cycles
27600095,8955739,2517446,2382620,1892463
35356093,21732,87473,2889578,1941146
5494037,3217,14036,427994,442761
5042763,2945,12931,391557,410574
3005915,1744,7706,231706,247172
348447,184,978,24517,30409
2783893,1621,7144,215874,225075
5361124,3132,13739,416423,437498
5479522,3204,13969,425999,443734
5365135,3131,13607,416428,439592
5022346,2937,12764,390493,400403
4806850,2818,12655,374528,371945
4500622,2624,11616,348997,371258
5403667,3163,13746,420285,435577
209838951,165060457,120029191,149970,4755682
238879263,191351471,139163214,211,5282631
237632257,189575759,137872746,208,5185297
237748907,189699260,137963361,208,5190738
237427307,189831571,138058616,261,5276285
237514394,190118515,138267573,208,5158046
240099992,192312521,139863045,208,5208198
237563005,190320045,138414513,208,5227767
239990577,192122154,139724692,208,5197210
237602256,189947408,138143584,208,5200804
236832154,189439682,137774151,208,5248589
237653976,190866647,138811018,208,5206533
237998515,190835068,138788851,260,5207373
237402897,189751689,138001229,208,5126152
239843171,192233054,139805734,208,5224348
237343384,189036477,137480133,208,5201851
239129309,190422973,138489373,208,5200316
237391892,190077343,138237580,208,5164247
237519229,190108592,138260429,208,5205680
237556383,189582616,137877647,208,5202329
236776934,189960264,138152707,261,5262202
237889358,191123419,138998351,208,5152249
239568444,189550991,137854720,208,5199329
237677616,190225783,138345749,208,5295493
239670693,190531168,138567966,208,5178861
239759483,192461877,139972006,208,5210899
239700421,191787684,139481204,208,5173232
237578843,189511713,137825816,260,5318086
237705645,189030574,137476492,208,5201079
239938391,191782835,139478166,208,5224169
239121361,190284282,138388315,208,5163014
