cycles,instructions,load_misses,store_misses,ept_walk_cycles
37356963,8961687,2541096,3173468,2259431
50799704,31100,124793,4132877,3269549
50746528,31031,124554,4124483,3319252
50671634,31071,124639,4130586,3026820
49864027,30476,122281,4051067,3311744
50660934,31070,124638,4128744,3031240
50757638,31090,124713,4131670,3180962
50775595,31029,124461,4123158,3407725
50590491,31039,124579,4125291,2974324
49515030,30417,121977,4043890,2830295
53664158,32986,132257,4385689,2916549
53562773,32960,132121,4382632,2925231
53758349,33075,132541,4397783,2952531
51681566,31795,127459,4227947,2835517
51971789,31986,128331,4253739,2838257
53504402,32926,132052,4378394,2921675
53707470,33041,132508,4393129,2943605
53637933,32986,132276,4385956,2952873
53341313,32850,131783,4367996,2856845
53405919,32902,131982,4374656,2808578
53400948,32902,131924,4375183,2827560
53703226,33108,132713,4401783,2825155
53659548,33079,132584,4398719,2821972
53745289,33128,132801,4404571,2835156
53212479,32803,131527,4361085,2800896
53577577,33027,132421,4391798,2818921
53764126,33168,133038,4410423,2831159
53760370,33137,132837,4406699,2848869
53333444,32893,131906,4373848,2820673
53770031,33131,132868,4405630,2854640
53649845,33100,132667,4401251,2824116
53677882,33116,132764,4403635,2830556
44004335,27106,109063,3604719,2361199
5828935,3407,15877,452742,464664
3328884,1930,8606,256705,281776
1265409,731,3312,97115,101727
5733573,3320,15062,441580,490228
5544701,3206,14371,426152,493089
1213098,656,3508,87378,109103
5713695,3309,14927,439969,504137
1154588,608,3209,80999,106235
976936,516,2666,68753,88792
1093325,577,2954,76713,99012
4468930,2577,11567,342889,395512
5941818,3416,15950,454132,516763
5645570,3266,14527,434152,483424
6303068,3657,16375,485987,548818
5813502,3373,15037,448210,504997
5886738,3409,15458,453264,520486
5997732,3472,15519,461776,528327
4686129,2737,12314,363928,347430
1082748,586,2971,78048,88302
1217540,670,3303,89229,100404
5976976,3497,15852,464984,463632
970187,512,2807,68251,79484
1244448,690,3456,91752,98093
6078716,3567,15958,474017,470264
5786369,3390,16473,450609,447036
6244244,3666,16478,487327,471174
5957201,3462,15641,460131,442598
3842802,2229,10278,296375,286974
982190,520,2715,69330,80084
3590978,2090,9560,278010,274731
3186511,1831,8471,243455,242892
872228,472,2393,62891,71136
856113,464,2435,61802,69884
1493973,829,4019,110525,116111
6262914,3645,16655,484687,494306
5933751,3462,16529,460338,459217
5901677,3427,15143,455728,446464
6148018,3559,16049,473279,465593
5127560,3018,13905,401128,380706
5424950,3148,14022,418646,409626
5788338,3361,15221,446644,440880
4624122,2656,12134,353348,350550
850394,456,2329,60768,69652
728093,379,2112,50710,60350
1019820,541,2813,71985,82442
1060025,576,2985,76733,88324
4991250,2898,14463,385193,396248
5899902,3450,16544,458860,456556
5589728,3258,15900,432797,438183
5489218,3217,14788,427738,420481
5055898,2961,14148,393700,386723
5941736,3480,16689,462845,454969
5582748,3266,15674,434388,427851
4832058,2800,13409,372154,371779
930744,504,2691,67152,77652
806524,433,2280,57566,66665
872434,472,2468,62916,70497
4690329,2754,12358,366046,347882
5340176,3136,14203,417088,405122
6045972,3546,15994,471352,465524
5480883,3216,14613,427861,420594
5622115,3254,15434,432591,440461
5985644,3468,17370,461146,451462
1434764,760,3901,101255,118532
1038674,560,2939,74600,87526
5457531,3201,14598,425866,421439
1141262,615,3207,81852,95947
991919,536,2776,71398,85302
963564,520,2741,69260,82210
